Sample,X,Y,Z
0,-0.023,-0.016,0.730
1,0.000,-0.066,1.016
2,0.086,0.023,0.996
3,0.133,-0.062,1.020
4,0.102,-0.098,1.035
5,0.113,-0.098,1.016
6,0.074,-0.047,0.988
7,0.031,-0.082,1.000
8,-0.016,-0.016,0.949
9,-0.059,0.004,0.938
10,-0.094,-0.027,0.922
11,-0.121,-0.023,0.910
12,-0.090,0.008,0.941
13,-0.074,-0.004,0.918
14,-0.031,-0.051,0.961
15,0.004,-0.043,0.945
16,0.035,-0.008,0.938
17,0.020,-0.082,0.941
18,0.027,-0.062,0.898
19,0.066,-0.031,0.965
20,0.012,0.066,0.906
21,0.035,-0.051,0.941
22,0.027,-0.031,0.891
23,0.047,-0.109,0.961
24,0.062,-0.059,0.934
25,0.023,-0.023,0.949
26,0.051,0.004,0.980
27,0.016,-0.102,1.039
28,0.027,-0.133,0.965
29,0.016,-0.059,0.973
30,0.012,-0.020,1.000
31,0.020,-0.031,0.961
32,-0.012,-0.027,0.945
33,-0.039,0.000,0.941
34,-0.047,-0.082,0.973
35,-0.074,-0.027,0.898
36,-0.012,-0.082,0.988
37,-0.012,-0.008,0.953
38,0.016,0.023,0.961
39,0.031,0.020,0.965
40,0.059,-0.055,1.020
41,0.051,-0.066,0.945
42,0.023,-0.031,0.934
43,0.027,-0.055,1.000
44,0.008,-0.039,0.969
45,0.012,-0.098,0.969
46,0.043,0.012,0.980
47,0.051,-0.039,1.004
48,0.043,0.008,0.910
49,0.035,-0.078,0.973
50,0.012,-0.031,0.988
51,0.012,-0.094,0.969
52,0.008,-0.062,0.941
53,-0.008,-0.047,0.980
54,0.000,-0.047,0.973
55,0.023,-0.066,0.910
56,-0.039,-0.023,0.883
57,-0.004,-0.031,0.965
58,-0.066,0.023,0.867
59,-0.008,-0.043,0.949
60,-0.008,-0.012,0.938
61,-0.008,-0.062,0.953
62,0.055,-0.027,0.930
63,0.023,-0.012,0.895
64,0.086,-0.113,0.984
65,0.059,0.016,0.902
66,0.031,-0.039,0.965
67,0.020,-0.004,0.969
68,0.023,-0.055,0.965
69,0.043,-0.031,0.977
70,0.051,-0.051,0.984
71,0.027,-0.055,0.938
72,0.012,-0.035,0.949
73,0.035,-0.043,1.051
74,0.012,-0.043,1.008
75,-0.012,0.023,0.957
76,-0.016,-0.109,1.008
77,-0.016,-0.035,0.988
78,0.000,-0.094,0.965
79,-0.016,0.051,0.918
80,0.020,-0.027,1.016
81,-0.020,0.012,0.926
82,-0.035,-0.137,0.969
83,0.012,-0.062,0.969
84,-0.012,0.008,0.922
85,0.023,0.000,0.980
86,0.078,-0.055,0.984
87,0.059,0.027,0.906
88,0.012,-0.082,0.973
89,0.004,-0.047,0.941
90,0.031,-0.062,0.914
91,0.023,0.012,0.926
92,0.051,-0.098,1.008
93,0.027,0.000,0.895
94,0.004,-0.027,0.887
95,-0.008,-0.102,0.984
96,0.043,-0.027,0.980
97,-0.043,0.016,0.887
98,0.027,-0.109,1.012
99,0.023,-0.121,0.992
100,0.027,0.062,0.879
101,0.023,-0.016,0.957
102,-0.020,-0.070,0.977
103,-0.012,-0.121,0.965
104,-0.070,0.035,0.859
105,-0.023,-0.059,1.016
106,0.008,-0.004,0.980
107,0.004,-0.055,0.941
108,0.090,-0.035,0.996
109,0.023,0.000,0.949
110,0.074,-0.008,0.965
111,0.082,-0.098,0.961
112,0.012,-0.117,0.965
113,0.047,-0.090,0.988
114,-0.051,0.117,0.883
115,-0.012,-0.082,1.020
116,-0.055,0.000,0.973
117,-0.035,-0.023,0.949
118,-0.004,0.020,0.945
119,0.012,-0.070,1.004
120,0.047,-0.051,1.000
121,0.051,-0.008,0.977
122,-0.016,-0.102,0.973
123,0.012,-0.031,0.957
124,-0.035,-0.082,0.949
125,-0.008,-0.023,0.934
126,-0.031,-0.012,0.973
127,-0.043,0.012,0.961
128,-0.004,-0.012,0.941
129,0.000,0.016,0.934
130,0.047,-0.047,0.980
131,0.055,-0.086,0.961
132,0.086,-0.062,0.918
133,0.078,-0.086,0.965
134,0.055,-0.043,0.965
135,0.031,0.008,0.914
136,0.016,-0.035,0.941
137,-0.012,-0.035,0.934
138,-0.023,0.027,0.891
139,-0.012,-0.004,0.941
140,-0.004,-0.043,0.949
141,0.004,-0.082,0.977
142,-0.020,-0.051,0.945
143,-0.020,-0.031,0.941
144,0.035,-0.098,1.023
145,-0.027,0.012,0.910
