Sample,X,Y,Z
0,-0.043,0.016,0.715
1,-0.008,0.055,0.957
2,0.031,0.000,0.969
3,0.055,0.008,0.906
4,-0.008,-0.051,0.844
5,0.055,-0.191,0.941
6,-0.023,0.012,0.844
7,0.008,-0.008,0.902
8,0.066,-0.098,0.965
9,0.031,-0.020,0.883
10,0.051,-0.090,0.965
11,0.047,-0.020,0.992
12,-0.035,-0.031,0.934
13,-0.012,-0.016,1.016
14,-0.023,-0.070,1.008
15,0.008,-0.113,0.977
16,-0.004,-0.125,1.008
17,-0.016,-0.141,1.004
18,0.039,-0.039,0.980
19,-0.004,0.027,0.926
20,0.008,-0.129,0.988
21,0.020,0.008,0.922
22,-0.004,0.102,0.863
23,0.012,-0.156,0.969
24,0.008,-0.074,0.902
25,0.012,-0.074,0.945
26,0.098,0.000,0.945
27,0.074,-0.039,0.922
28,0.039,-0.066,0.938
29,0.012,-0.027,0.969
30,-0.043,0.070,0.934
31,0.004,-0.062,1.051
32,-0.082,-0.012,0.965
33,0.031,0.004,1.027
34,0.023,0.082,0.980
35,0.047,-0.051,0.965
36,0.004,-0.184,1.000
37,0.000,-0.051,0.910
38,0.012,0.027,0.961
39,0.027,0.051,0.969
40,-0.008,-0.117,0.961
41,0.000,0.012,0.922
42,0.004,0.035,0.938
43,0.035,-0.082,0.941
44,0.047,-0.090,0.930
45,0.012,0.047,0.949
46,0.043,-0.074,1.027
47,-0.086,-0.113,0.914
48,-0.004,-0.160,1.023
49,-0.020,0.055,1.016
50,-0.004,0.090,0.941
51,0.078,-0.098,1.043
52,0.031,-0.086,0.957
53,0.059,-0.102,0.957
54,0.047,-0.012,0.945
55,-0.020,-0.176,0.938
56,0.016,-0.094,0.949
57,0.004,0.023,0.898
58,-0.035,-0.059,0.906
59,-0.055,-0.043,0.926
60,-0.027,0.012,0.914
61,0.027,-0.012,0.922
62,-0.004,-0.004,0.910
63,-0.020,-0.195,0.977
64,0.051,-0.086,0.996
65,0.031,0.062,0.941
66,0.086,-0.207,1.031
67,0.031,-0.121,0.973
68,0.020,-0.043,0.957
69,0.016,-0.090,0.988
70,0.004,-0.062,0.984
71,-0.004,0.062,1.016
72,-0.055,0.008,0.992
73,-0.059,-0.094,0.910
74,-0.031,-0.090,0.945
75,0.039,-0.059,0.941
76,0.086,0.066,0.895
77,0.105,-0.023,0.918
78,0.055,-0.133,0.941
79,0.043,-0.086,0.934
80,-0.023,0.008,0.910
81,-0.055,-0.016,0.945
82,-0.008,-0.055,1.027
83,-0.066,0.059,0.902
84,0.027,-0.043,1.035
85,-0.031,0.055,0.949
86,-0.016,-0.109,0.969
87,0.020,-0.078,1.023
88,0.027,0.055,0.898
89,0.086,-0.082,1.012
90,0.078,-0.012,0.992
91,0.055,-0.094,0.934
92,0.016,-0.094,0.922
93,-0.020,-0.004,0.941
94,-0.035,0.016,0.973
95,-0.020,0.031,0.938
96,-0.055,-0.062,0.957
97,0.023,-0.062,0.980
98,0.020,0.020,0.918
99,0.055,-0.141,0.930
100,0.027,-0.160,0.980
101,0.020,-0.082,0.988
102,0.004,-0.035,0.953
103,-0.008,-0.008,1.000
104,-0.078,-0.012,0.969
105,-0.027,-0.117,1.004
106,-0.031,0.012,0.895
107,0.062,0.012,0.957
108,0.062,-0.047,1.000
109,0.004,-0.086,0.891
110,0.055,-0.141,0.980
111,0.031,-0.016,0.879
112,0.008,-0.121,0.938
113,0.000,-0.066,0.945
114,0.016,0.027,0.961
115,0.016,0.043,0.953
116,0.012,-0.020,0.938
117,-0.023,-0.168,0.973
118,-0.012,-0.043,0.930
119,0.004,0.008,0.957
120,0.070,-0.043,0.992
121,0.020,-0.156,0.961
122,0.012,-0.160,0.988
123,-0.004,-0.094,0.957
124,-0.012,0.105,0.941
125,-0.023,0.016,1.008
126,-0.059,-0.090,0.980
127,-0.031,0.000,0.922
128,0.051,0.059,0.926
129,0.047,-0.051,0.910
130,0.105,-0.109,0.969
131,0.031,-0.078,0.918
132,0.020,-0.078,0.934
133,-0.016,0.016,0.949
134,0.000,0.023,0.977
135,0.023,0.035,0.977
136,-0.008,0.016,0.934
137,-0.027,-0.059,0.941
138,0.012,-0.023,0.992
139,-0.012,0.016,0.949
140,0.031,-0.129,1.016
141,-0.012,-0.055,0.945
142,0.008,-0.074,0.938
143,0.016,-0.008,0.996
144,0.016,0.031,1.004
145,-0.027,-0.066,0.953
146,0.059,-0.023,0.992
147,0.000,0.016,0.906
148,0.020,-0.133,0.969
149,-0.027,-0.145,0.984
150,-0.055,0.000,0.902
151,0.020,-0.016,0.980
152,0.027,-0.008,0.949
153,0.020,-0.125,0.922
154,0.051,-0.055,0.988
155,0.016,0.094,0.938
156,-0.008,-0.035,0.969
157,-0.035,-0.039,0.988
158,-0.008,-0.148,1.000
159,0.051,0.000,0.930
160,0.027,0.008,0.887
161,0.074,-0.172,1.008
162,0.000,-0.020,0.898
163,-0.004,-0.004,0.938
164,-0.027,-0.051,0.953
165,0.008,0.047,0.957
166,-0.035,0.027,0.945
167,0.031,-0.117,0.996
168,0.035,-0.051,0.973
169,0.031,-0.016,0.938
170,-0.012,-0.102,0.977
171,0.023,0.008,0.965
172,-0.016,-0.059,0.973
173,0.039,-0.051,0.957
174,0.027,0.023,0.949
175,0.012,0.000,0.969
176,0.008,-0.070,1.020
177,-0.059,-0.031,0.922
178,0.008,0.020,0.984
179,0.020,0.070,0.953
180,0.059,-0.121,0.938
181,0.105,-0.117,0.973
182,0.008,0.062,0.875
183,0.023,-0.059,0.988
184,-0.051,-0.039,0.934
185,-0.051,-0.035,0.945
186,0.027,0.020,1.023
187,-0.055,0.059,0.887
188,0.031,-0.164,1.031
189,0.051,0.082,0.996
190,0.012,-0.031,0.949
191,0.062,-0.102,0.992
192,-0.023,0.000,0.922
193,0.059,-0.137,1.020
194,-0.027,0.051,0.898
