Sample,X,Y,Z
0,0.020,-0.039,0.574
1,0.000,-0.035,0.969
2,-0.004,-0.039,0.973
3,0.012,-0.023,0.988
4,0.039,0.012,0.984
5,0.062,-0.059,0.949
6,0.012,-0.086,0.961
7,-0.016,-0.082,0.957
8,-0.012,-0.020,0.957
9,0.012,-0.004,1.000
10,0.008,-0.055,0.988
11,-0.020,-0.027,0.957
12,0.008,0.012,0.996
13,0.023,-0.051,0.988
14,-0.012,-0.074,0.965
15,0.000,-0.062,0.980
16,0.012,0.000,0.992
17,0.031,-0.023,0.980
18,0.051,-0.078,0.945
19,0.133,-0.051,0.992
20,0.059,0.008,0.953
21,-0.016,-0.062,0.996
22,-0.035,-0.141,0.992
23,-0.062,-0.027,0.965
24,-0.047,-0.043,1.027
25,-0.062,-0.004,0.945
26,-0.020,0.035,0.980
27,-0.004,0.020,0.965
28,0.035,-0.066,0.957
29,0.031,-0.055,0.949
30,0.031,-0.121,0.980
31,0.055,-0.086,0.977
32,0.051,-0.023,0.945
33,0.047,-0.016,1.004
34,-0.008,-0.020,0.941
35,-0.086,-0.055,0.973
36,-0.051,-0.027,1.016
37,-0.027,0.016,0.965
38,0.000,0.016,0.977
39,0.020,-0.043,1.000
40,0.004,-0.043,0.938
41,0.023,-0.062,0.977
42,0.055,-0.094,0.980
43,0.070,-0.031,0.953
44,0.059,-0.070,1.008
45,0.039,-0.031,0.984
46,0.004,-0.012,0.980
47,-0.023,-0.102,1.008
48,-0.078,-0.043,0.980
49,0.004,-0.031,0.992
50,-0.027,0.004,0.930
51,0.027,-0.035,1.000
52,-0.031,-0.043,0.926
53,-0.016,-0.051,0.949
54,0.027,-0.070,1.000
55,0.043,-0.039,0.953
56,0.020,-0.059,0.988
57,0.066,-0.027,0.977
58,0.035,0.023,0.957
59,0.012,-0.047,0.992
60,-0.031,-0.031,0.977
61,-0.035,-0.008,0.996
62,-0.027,-0.051,0.977
63,-0.004,-0.047,0.934
64,0.004,-0.016,0.965
65,0.012,-0.062,0.977
66,0.016,-0.012,0.977
67,0.027,-0.078,0.988
68,0.027,-0.047,1.012
69,0.047,-0.016,0.957
70,0.023,-0.031,0.977
71,0.051,-0.090,1.016
72,-0.047,-0.031,0.930
73,0.000,-0.070,1.008
74,-0.004,0.027,0.988
75,0.020,-0.074,0.934
76,-0.023,-0.109,0.965
77,-0.066,-0.055,0.965
78,0.016,-0.008,1.035
79,0.027,0.016,0.949
80,0.023,-0.078,0.984
81,0.035,-0.070,0.984
82,0.000,0.012,0.938
83,0.062,-0.074,1.020
84,0.168,-0.039,1.000
85,0.219,-0.039,0.906
86,0.082,-0.012,0.973
87,0.047,-0.145,0.996
88,-0.078,-0.027,0.887
89,-0.125,-0.121,1.031
90,-0.199,-0.066,0.996
91,-0.242,0.102,0.941
92,-0.180,0.066,1.027
93,-0.023,0.012,0.918
94,0.051,0.027,0.918
95,0.133,-0.051,1.004
96,0.113,-0.109,0.949
97,0.148,-0.160,0.953
98,0.156,-0.152,0.977
99,0.074,-0.062,0.992
