Sample,X,Y,Z
0,-0.004,0.004,0.680
1,0.020,-0.055,0.992
2,-0.043,-0.090,0.938
3,0.023,-0.098,1.004
4,0.008,-0.008,0.969
5,0.059,-0.043,0.980
6,0.047,-0.012,0.973
7,-0.039,-0.059,0.961
8,-0.016,-0.031,1.000
9,-0.023,-0.012,0.961
10,0.004,-0.035,0.996
11,0.047,-0.012,0.965
12,0.020,-0.043,0.941
13,0.023,-0.031,0.988
14,0.027,-0.078,0.961
15,0.000,-0.039,0.957
16,0.020,-0.051,1.027
17,0.012,-0.008,0.949
18,-0.012,-0.016,0.961
19,-0.008,-0.043,1.004
20,-0.004,-0.043,0.949
21,0.000,0.000,0.992
22,0.012,-0.066,0.984
23,-0.012,-0.023,0.965
24,0.023,-0.055,0.977
25,-0.016,-0.031,0.926
26,0.082,-0.039,1.004
27,0.039,0.035,0.930
28,0.016,-0.090,1.012
29,0.020,-0.047,0.973
30,-0.016,-0.031,0.973
31,0.027,-0.035,1.023
32,-0.039,-0.027,0.926
33,-0.023,-0.082,1.004
34,0.020,0.031,0.953
35,-0.004,-0.035,0.957
36,0.023,-0.070,0.996
37,-0.016,-0.031,0.918
38,0.047,-0.008,0.984
39,0.062,-0.031,0.988
40,0.008,-0.105,0.953
41,-0.016,-0.043,1.012
42,0.008,-0.023,1.000
43,0.004,0.027,0.941
44,-0.027,-0.047,0.973
45,-0.023,-0.074,0.965
46,-0.004,0.043,0.957
47,0.047,-0.082,1.004
48,0.066,-0.043,0.965
49,0.020,-0.023,0.988
50,-0.020,-0.039,0.984
51,-0.016,-0.027,0.973
52,-0.023,-0.012,0.953
53,0.004,-0.027,1.016
54,0.016,0.000,0.949
55,0.035,0.020,0.961
56,0.062,-0.066,1.004
57,0.035,-0.098,0.945
58,-0.023,-0.070,0.969
59,-0.035,-0.043,1.020
60,0.008,0.020,0.953
61,-0.008,-0.008,0.938
62,0.000,-0.078,0.992
63,-0.031,-0.016,0.965
64,0.008,-0.008,1.004
65,0.078,-0.043,0.996
66,0.020,-0.094,0.938
67,-0.020,-0.059,0.980
68,0.051,0.008,0.969
69,0.012,0.020,0.926
70,0.023,-0.117,1.016
71,0.004,-0.016,0.934
72,-0.035,0.066,1.000
73,-0.023,-0.137,1.020
74,-0.055,-0.098,0.918
75,0.031,0.031,1.035
76,0.016,-0.020,0.996
77,0.016,0.020,0.926
78,0.094,-0.070,0.988
79,0.039,-0.027,0.934
80,0.012,-0.102,1.004
81,-0.027,-0.055,0.953
82,0.008,-0.043,0.992
83,0.031,-0.066,1.008
84,-0.016,0.008,0.914
85,-0.008,0.016,1.059
86,0.008,-0.035,1.020
87,-0.039,-0.086,0.957
88,0.023,-0.184,1.000
89,-0.031,0.055,0.891
90,0.082,0.012,0.949
91,0.023,-0.012,0.840
92,0.047,-0.215,0.977
93,0.023,-0.160,0.988
94,0.008,0.055,1.031
95,0.012,0.051,1.070
96,-0.062,-0.020,0.922
97,-0.062,-0.020,0.961
98,-0.086,0.047,0.980
99,-0.035,-0.102,1.035
100,0.066,-0.035,1.000
101,0.129,0.008,0.984
102,0.102,-0.090,0.953
103,-0.047,-0.152,0.859
104,-0.016,-0.137,0.961
105,0.004,0.004,1.000
106,-0.023,0.098,1.016
107,0.000,0.008,1.070
108,-0.035,-0.043,0.973
109,0.020,-0.086,0.973
110,0.004,-0.078,0.945
111,0.023,-0.059,0.984
112,0.062,-0.059,0.957
113,0.027,-0.113,0.910
114,0.020,-0.180,0.992
115,-0.012,-0.090,0.996
116,-0.008,-0.051,1.008
117,-0.016,-0.070,1.055
118,-0.004,-0.125,1.004
119,0.000,-0.059,0.984
120,0.012,-0.160,1.035
121,0.000,-0.184,0.984
122,-0.008,-0.148,0.984
123,-0.023,-0.148,0.930
124,0.012,-0.188,0.938
125,0.012,-0.168,0.867
126,0.055,-0.164,0.945
127,0.062,-0.102,0.945
