Sample,Timestamp,Measured Motor Steps,Target Motor Steps
0,0.05,-3739.71,-3756.17
1,0.60,-3739.71,-3756.17
2,1.06,-3739.76,-3756.17
3,1.61,-3739.73,-3756.17
4,2.07,-3739.76,-3756.17
5,2.55,-3739.71,-3756.17
6,3.09,-3739.76,-3756.17
7,3.56,-3739.71,-3756.17
8,4.10,-3739.71,-3756.17
9,4.58,-3739.72,-3756.17
10,5.05,-3739.69,-3756.17
11,5.60,-3739.75,-3756.17
12,6.07,-3739.69,-3756.17
13,6.55,-3739.73,-3756.17
14,7.09,-3739.67,-3756.17
15,7.56,-3739.72,-3756.17
16,8.11,-3739.72,-3756.17
17,8.59,-3739.73,-3756.17
18,9.05,-3739.75,-3756.17
19,9.59,-3739.73,-3756.17
20,10.06,-3739.72,-3756.17
21,10.61,-3739.71,-3756.17
22,11.07,-3739.73,-3756.17
23,11.54,-3739.72,-3756.17
24,12.09,-3739.73,-3756.17
25,12.57,-3739.73,-3756.17
26,13.11,-3739.76,-3756.17
27,13.58,-3739.69,-3756.17
28,14.05,-3739.71,-3756.17
29,14.60,-3739.72,-3756.17
30,15.06,-3739.75,-3756.17
31,15.61,-3739.67,-3756.17
32,16.07,-3739.75,-3756.17
33,16.54,-3739.72,-3756.17
34,17.09,-3739.76,-3756.17
35,17.55,-3739.72,-3756.17
36,18.10,-3739.72,-3756.17
37,18.58,-3739.77,-3756.17
38,19.04,-3739.72,-3756.17
39,19.59,-3739.66,-3756.17
40,20.05,-3739.72,-3756.17
41,20.60,-3739.77,-3756.17
42,21.06,-3739.71,-3756.17
43,21.61,-3739.72,-3756.17
44,22.08,-3739.75,-3756.17
45,22.54,-3739.71,-3756.17
46,23.10,-3739.72,-3756.17
47,23.57,-3739.73,-3756.17
48,24.05,-3739.77,-3756.17
49,24.59,-3739.73,-3756.17
50,25.06,-3739.75,-3756.17
51,25.61,-3739.72,-3756.17
52,26.08,-3739.69,-3756.17
53,26.54,-3739.76,-3756.17
54,27.09,-3739.72,-3756.17
55,27.56,-3739.71,-3756.17
56,28.10,-3739.72,-3756.17
57,28.57,-3739.72,-3756.17
58,29.04,-3739.71,-3756.17
59,29.59,-3739.72,-3756.17
60,30.06,-3739.71,-3756.17
61,30.60,-3739.75,-3756.17
62,31.07,-3739.73,-3756.17
63,31.54,-3739.76,-3756.17
64,32.09,-3739.72,-3756.17
65,32.55,-3739.72,-3756.17
66,33.10,-3739.75,-3756.17
67,33.57,-3739.73,-3756.17
68,34.11,-3739.75,-3756.17
69,34.57,-3739.73,-3756.17
70,35.11,-3739.76,-3756.17
71,35.59,-3739.73,-3756.17
72,36.05,-3739.71,-3756.17
73,36.59,-3739.75,-3756.17
74,37.05,-3739.72,-3756.17
75,37.60,-3739.72,-3756.17
76,38.06,-3739.73,-3756.17
77,38.61,-3739.77,-3756.17
78,39.07,-3739.71,-3756.17
79,39.54,-3739.73,-3756.17
80,40.08,-3739.69,-3756.17
81,40.56,-3739.71,-3756.17
82,41.10,-3739.73,-3756.17
83,41.56,-3739.73,-3756.17
84,42.11,-3739.71,-3756.17
85,42.57,-3739.73,-3756.17
86,43.04,-3739.72,-3756.17
