Sample,X,Y,Z
0,0.023,-0.012,0.730
1,-0.023,-0.008,0.902
2,0.055,-0.066,0.969
3,0.023,-0.027,0.926
4,0.016,-0.047,0.961
5,0.023,-0.055,0.969
6,-0.043,-0.035,0.914
7,0.043,-0.086,1.008
8,0.016,0.023,0.902
9,0.020,-0.098,0.988
10,-0.016,-0.023,0.902
11,-0.047,-0.066,0.918
12,-0.016,-0.031,0.992
13,-0.023,0.023,0.949
14,0.012,-0.020,0.930
15,0.043,-0.043,0.965
16,0.043,-0.031,0.949
17,0.039,-0.090,0.953
18,0.016,-0.051,0.961
19,0.043,-0.055,0.969
20,0.039,-0.020,0.969
21,-0.004,-0.008,0.953
22,-0.008,-0.062,0.969
23,-0.020,-0.039,0.961
24,0.020,0.016,0.969
25,0.039,-0.031,1.012
26,0.000,-0.047,0.934
27,0.055,-0.105,0.980
28,0.020,-0.105,0.953
29,0.043,0.000,0.969
30,0.027,-0.051,0.996
31,-0.023,-0.031,0.945
32,0.008,-0.066,0.973
33,-0.043,0.000,0.941
34,-0.020,-0.035,0.992
35,0.000,-0.031,0.945
36,0.016,-0.012,0.957
37,0.066,-0.031,0.973
38,0.012,-0.086,0.887
39,0.039,-0.109,0.910
40,0.016,0.000,0.938
41,0.016,-0.066,0.969
42,0.016,0.070,0.895
43,0.004,-0.012,0.965
44,0.027,-0.086,0.980
45,0.012,-0.020,0.887
46,0.012,0.004,0.945
47,0.047,-0.047,1.008
48,-0.035,-0.023,0.906
49,0.016,-0.141,0.953
50,0.039,-0.066,0.949
51,0.000,0.012,0.953
52,0.004,0.000,0.984
53,-0.039,-0.039,0.996
54,0.020,-0.043,0.977
55,0.012,0.004,0.953
56,0.004,-0.125,1.012
57,0.066,-0.059,0.992
58,0.023,-0.043,0.914
59,0.102,-0.051,0.984
60,0.031,-0.043,0.965
61,-0.012,-0.082,0.930
62,-0.012,-0.121,0.961
63,-0.078,0.074,0.918
64,0.012,0.000,1.027
65,-0.043,0.137,0.895
66,0.027,-0.133,1.012
67,0.078,-0.102,0.953
68,0.043,-0.047,0.906
69,0.105,0.023,0.945
70,0.027,-0.094,0.973
71,0.012,-0.145,0.965
72,-0.016,-0.016,0.887
73,-0.074,-0.039,0.957
74,-0.012,0.066,0.977
75,-0.074,0.043,0.941
76,-0.012,-0.012,0.984
77,0.020,-0.023,1.020
78,-0.016,-0.121,0.941
79,0.078,-0.055,0.891
80,0.102,-0.070,1.023
81,0.066,-0.098,0.957
82,0.023,-0.086,0.895
83,0.027,0.047,0.934
84,-0.004,-0.055,1.020
85,-0.012,0.004,0.914
86,-0.035,0.023,0.887
87,-0.020,-0.051,1.000
88,0.016,-0.023,0.957
89,0.004,-0.043,0.949
90,0.059,-0.031,0.988
91,0.070,-0.078,0.949
92,0.070,-0.066,0.898
93,0.027,-0.074,0.961
94,0.004,-0.023,0.969
95,-0.031,-0.039,0.961
96,-0.051,0.160,0.922
97,0.004,-0.062,1.055
98,-0.059,-0.078,0.945
99,0.016,-0.105,0.957
100,0.027,-0.023,1.012
101,0.035,-0.035,0.992
102,0.066,-0.023,0.980
103,0.023,-0.059,0.918
104,0.051,-0.117,1.016
105,0.000,-0.051,0.945
106,-0.070,-0.016,0.918
107,0.012,0.020,1.016
108,-0.020,0.027,0.949
109,0.012,-0.113,0.969
110,0.016,0.023,0.914
111,0.027,-0.047,0.945
112,0.043,-0.117,0.988
113,0.004,-0.020,0.898
114,0.047,-0.078,0.992
115,0.004,0.059,0.902
116,0.008,-0.070,0.949
117,0.020,-0.016,0.941
118,-0.031,0.023,0.914
119,-0.016,-0.055,0.945
120,0.004,-0.059,0.969
121,-0.004,-0.035,0.938
122,0.047,-0.086,1.004
123,0.012,-0.102,0.918
124,0.062,-0.086,0.938
125,0.039,-0.031,0.957
126,0.039,-0.102,1.031
127,0.016,0.055,0.941
128,-0.055,-0.004,0.934
129,0.012,-0.113,1.004
130,-0.027,-0.051,0.945
131,-0.016,-0.020,0.922
132,0.055,-0.051,1.016
133,0.016,-0.027,0.977
134,0.039,-0.062,0.938
135,0.020,-0.070,0.957
136,-0.012,-0.062,0.984
137,0.020,0.000,0.953
138,-0.027,0.035,0.926
139,0.016,-0.027,0.992
140,-0.031,-0.020,0.930
141,-0.012,-0.074,0.934
142,0.012,0.000,0.941
143,-0.012,-0.043,0.980
144,0.051,-0.074,0.934
145,0.027,-0.016,0.965
146,0.039,-0.098,0.973
147,0.035,-0.055,0.953
148,0.004,-0.043,0.957
149,0.012,-0.027,0.965
150,-0.016,-0.051,0.957
151,0.012,-0.008,0.965
152,-0.023,-0.062,0.949
153,0.059,-0.062,0.992
154,0.031,0.000,0.934
155,0.039,-0.082,0.984
156,0.059,-0.113,0.988
157,-0.031,0.035,0.891
158,0.023,-0.121,1.035
159,-0.027,0.008,0.918
160,0.020,-0.043,0.934
161,-0.008,-0.027,0.953
162,-0.008,-0.027,0.953
163,0.031,0.016,0.941
164,-0.004,0.016,0.898
165,0.035,-0.113,1.008
166,0.016,-0.074,0.945
167,-0.008,-0.043,0.891
168,0.035,-0.059,1.039
169,0.016,0.066,0.996
170,-0.027,-0.039,0.930
171,0.016,-0.023,0.918
172,-0.012,-0.090,0.977
173,0.004,-0.008,0.969
174,-0.043,-0.035,0.930
175,0.043,-0.047,0.984
176,0.070,-0.047,1.031
177,0.031,-0.051,0.949
178,0.031,-0.090,0.941
179,0.000,-0.082,0.988
180,0.020,-0.043,1.008
181,-0.023,0.043,0.938
182,0.016,0.004,0.977
183,0.004,-0.023,0.941
184,0.004,-0.117,0.945
185,0.031,-0.078,0.918
186,-0.008,0.043,0.930
187,0.039,-0.020,1.000
188,0.012,-0.102,0.941
189,0.023,-0.070,0.918
190,0.051,0.004,0.941
191,-0.020,-0.039,0.969
192,0.031,-0.031,0.988
193,-0.023,0.047,0.898
194,-0.023,-0.055,0.988
195,0.004,-0.047,0.973
196,-0.039,-0.031,0.867
197,0.043,-0.098,0.988
198,0.027,0.020,0.965
199,0.039,-0.035,0.965
200,0.023,-0.012,0.902
201,-0.016,-0.109,0.984
