Sample,X,Y,Z
0,-0.027,-0.148,0.707
1,0.133,-0.109,0.898
2,0.133,-0.109,0.898
3,0.059,-0.070,0.910
4,0.055,-0.094,1.059
5,0.203,0.012,0.859
6,-0.031,-0.098,1.012
7,0.094,-0.188,1.016
8,0.086,-0.031,0.930
9,-0.051,-0.102,1.031
10,0.141,0.000,0.992
11,-0.102,0.004,1.039
12,0.129,-0.070,0.953
13,-0.035,-0.012,0.953
14,0.133,-0.051,1.039
15,0.023,-0.148,0.848
16,0.008,-0.047,1.043
17,0.016,-0.176,1.035
18,-0.027,0.102,0.828
19,0.059,-0.137,1.070
20,-0.074,-0.008,0.961
21,0.055,-0.148,1.004
22,0.012,-0.094,0.953
23,-0.062,0.074,0.918
24,0.129,-0.066,1.035
25,-0.109,-0.055,0.859
26,-0.023,0.000,0.934
27,0.121,-0.078,1.082
28,-0.027,-0.008,0.852
29,0.172,-0.188,1.023
30,0.086,-0.023,0.969
31,0.074,0.035,0.949
32,0.141,-0.172,0.969
33,-0.008,-0.098,0.957
34,-0.012,-0.016,0.926
35,0.039,-0.027,0.980
36,-0.078,0.035,0.922
37,0.031,-0.074,0.965
38,0.031,-0.094,1.051
39,0.027,0.035,0.852
40,0.133,-0.094,0.949
41,-0.004,-0.137,1.059
42,0.031,-0.055,0.852
43,0.020,-0.027,0.918
44,0.008,-0.047,1.051
45,0.020,-0.082,0.898
46,0.078,-0.090,0.945
47,-0.035,-0.152,1.027
48,0.039,0.105,0.996
49,0.133,-0.031,0.902
50,-0.160,-0.070,1.008
51,0.105,-0.078,1.020
52,-0.047,-0.051,0.883
53,0.105,0.020,1.074
54,0.156,-0.090,0.977
55,-0.141,-0.023,0.949
56,0.355,-0.160,1.047
57,-0.152,-0.094,0.945
58,0.121,0.020,0.969
59,0.035,-0.098,1.023
60,-0.074,-0.012,0.984
61,0.066,-0.148,0.910
62,-0.121,0.035,1.035
63,-0.016,-0.055,0.926
64,0.051,-0.043,0.906
65,0.027,-0.078,1.105
66,0.000,0.004,0.891
67,0.262,-0.105,0.879
68,-0.180,-0.184,0.961
69,0.152,-0.039,0.941
70,0.031,-0.086,0.914
71,-0.047,0.105,0.945
72,0.129,-0.152,0.965
73,-0.055,-0.027,1.027
74,0.195,-0.188,0.934
75,0.020,0.008,0.867
76,-0.086,-0.055,0.977
77,0.133,-0.082,1.004
78,-0.082,-0.043,0.914
79,0.074,-0.043,0.934
80,0.105,0.059,1.020
81,-0.078,-0.148,0.934
82,0.234,-0.184,0.984
83,-0.078,-0.051,1.012
84,0.031,0.008,0.984
85,0.062,0.004,0.859
86,-0.133,-0.059,1.094
87,0.098,-0.184,1.023
88,-0.062,0.047,0.828
89,0.086,0.012,1.016
90,-0.012,-0.164,1.020
91,0.121,-0.066,0.945
92,-0.055,-0.094,0.965
93,0.105,0.102,0.988
94,0.027,-0.066,1.012
95,0.031,-0.164,0.934
96,0.055,-0.191,0.977
97,-0.031,0.078,0.992
98,0.105,0.000,0.938
99,0.055,-0.086,1.008
100,-0.051,-0.172,1.012
101,0.168,0.082,0.941
102,-0.117,-0.043,0.922
103,0.148,-0.098,1.008
104,-0.035,-0.059,0.906
105,-0.023,-0.043,0.980
106,0.184,-0.020,0.891
107,-0.215,0.012,0.930
108,0.289,-0.156,1.086
109,-0.090,-0.109,0.805
110,0.031,-0.008,0.996
111,0.152,-0.070,0.988
112,-0.199,0.055,0.883
113,0.312,-0.199,1.004
114,-0.191,-0.094,0.938
115,0.074,0.062,0.945
116,0.094,-0.090,0.957
117,-0.141,-0.016,0.953
118,0.121,-0.125,1.016
119,0.004,0.000,0.891
120,0.020,-0.008,1.047
121,0.215,-0.199,1.016
122,-0.070,-0.125,0.945
123,0.047,-0.004,0.996
124,0.062,-0.051,0.926
125,-0.035,0.027,0.992
126,0.016,-0.203,0.984
127,0.020,-0.035,0.984
128,0.027,0.043,0.996
129,0.133,-0.043,0.965
130,-0.070,-0.055,1.047
131,0.113,-0.102,0.891
132,0.020,-0.059,0.930
133,-0.086,-0.020,1.023
134,0.098,-0.059,0.945
135,-0.074,-0.016,0.957
136,0.000,-0.160,0.961
137,0.129,0.031,1.012
138,-0.016,-0.066,0.957
139,0.137,-0.102,0.902
140,0.043,-0.086,1.027
141,0.020,-0.039,0.918
142,0.094,-0.035,0.953
143,-0.113,-0.066,0.969
144,-0.027,-0.020,0.953
145,0.094,-0.020,1.016
146,-0.055,-0.055,0.875
147,0.172,-0.082,1.020
148,0.027,-0.133,1.004
149,-0.016,0.020,0.945
150,0.168,-0.043,0.906
151,-0.195,0.012,0.980
152,0.113,-0.121,0.957
153,-0.020,-0.172,0.902
154,0.000,0.039,1.023
155,0.180,-0.008,0.926
156,0.000,-0.102,1.008
157,0.094,-0.148,0.930
158,-0.004,0.066,0.938
159,-0.016,-0.117,0.996
160,0.004,-0.070,0.902
161,0.004,-0.078,1.035
162,-0.051,-0.031,1.023
163,0.113,0.016,0.898
164,-0.062,-0.133,1.031
165,0.180,-0.070,1.008
166,0.066,-0.094,0.898
167,-0.027,-0.082,1.020
168,0.066,-0.062,0.957
169,-0.027,-0.004,1.023
170,0.062,-0.086,0.875
171,-0.094,0.051,1.000
172,0.129,-0.039,1.008
173,-0.086,-0.137,0.859
174,0.191,-0.066,1.121
175,-0.129,-0.016,0.887
176,0.133,0.125,0.902
177,0.000,-0.230,0.992
178,0.000,0.031,1.023
179,0.125,-0.121,0.848
180,-0.113,-0.051,0.957
181,0.184,-0.117,1.062
182,-0.090,0.004,0.875
183,0.078,-0.059,1.031
184,0.070,-0.016,0.836
185,-0.047,-0.027,1.043
186,0.160,-0.191,1.000
187,-0.047,0.020,0.824
188,0.035,-0.105,0.992
189,0.016,-0.023,1.012
190,-0.039,-0.016,0.898
191,0.184,-0.062,1.039
192,-0.039,-0.039,0.977
193,0.078,-0.078,0.918
194,0.102,-0.242,0.977
195,-0.035,-0.039,0.973
196,-0.117,0.047,0.930
197,0.148,0.062,0.898
198,-0.094,-0.102,1.043
199,0.090,-0.129,1.016
200,0.105,-0.078,0.891
201,-0.113,-0.023,1.012
202,0.188,-0.152,1.031
203,-0.070,0.086,0.891
204,0.062,-0.113,0.984
205,0.043,-0.156,1.027
206,-0.086,-0.016,0.980
207,0.207,-0.043,0.906
208,-0.105,-0.047,0.992
209,0.020,-0.102,1.012
210,0.098,0.004,0.906
211,0.012,-0.105,0.980
212,0.031,-0.070,0.969
213,0.035,0.070,0.922
214,0.051,-0.156,1.055
215,0.082,-0.031,0.863
216,-0.012,-0.074,0.949
217,0.043,-0.074,0.957
218,0.051,-0.109,0.922
219,0.070,-0.086,1.051
220,-0.070,0.066,0.875
221,0.117,-0.027,0.980
222,-0.078,-0.188,0.961
223,0.102,0.020,0.961
224,0.031,-0.074,0.977
225,-0.039,0.039,0.871
226,0.129,-0.152,1.055
227,-0.062,-0.117,0.984
228,0.148,0.020,0.832
229,-0.078,0.004,1.012
230,0.164,-0.102,1.043
231,0.020,-0.121,0.852
232,0.012,-0.109,1.070
233,0.035,-0.031,0.938
234,-0.066,0.039,0.992
235,0.109,-0.152,0.977
236,-0.133,0.039,0.969
237,0.137,-0.055,0.957
238,-0.031,-0.113,1.004
239,0.055,-0.051,0.957
240,0.145,-0.133,0.953
241,-0.051,0.078,0.965
242,0.105,-0.082,0.926
243,0.023,-0.094,1.016
244,0.066,-0.152,0.973
245,-0.012,0.004,0.926
246,0.000,-0.055,1.016
247,0.031,-0.023,0.934
248,-0.105,-0.039,0.984
249,0.113,-0.039,0.914
250,-0.027,0.004,0.965
251,0.223,-0.176,1.059
252,-0.035,-0.098,0.867
253,0.117,0.035,1.020
254,0.047,-0.137,0.891
255,-0.094,-0.039,0.953
