Sample,X,Y,Z
0,0.105,0.047,0.605
1,0.105,-0.203,1.008
2,0.031,0.000,0.902
3,0.137,-0.156,1.062
4,0.035,-0.008,0.918
5,0.000,-0.152,0.938
6,0.020,-0.145,1.012
7,0.004,0.027,0.945
8,0.039,-0.047,0.984
9,0.047,-0.016,0.930
10,-0.059,-0.055,0.996
11,0.074,-0.078,1.012
12,0.055,-0.043,0.793
13,0.008,-0.055,0.984
14,0.074,-0.082,0.918
15,-0.039,-0.016,0.887
16,0.125,-0.039,0.988
17,0.070,-0.027,0.965
18,-0.035,-0.074,0.961
19,0.086,-0.090,0.926
20,-0.082,-0.098,1.051
21,-0.016,-0.012,0.930
22,0.000,0.043,0.918
23,-0.055,0.000,1.012
24,0.152,-0.191,1.008
25,0.090,-0.141,0.957
26,0.070,-0.074,0.957
27,0.227,-0.039,1.008
28,-0.008,-0.125,0.984
29,0.086,-0.082,0.969
30,-0.043,-0.062,1.000
31,-0.047,-0.016,0.992
32,0.000,-0.098,0.953
33,-0.066,-0.016,1.051
34,0.086,-0.031,0.953
35,0.039,0.043,0.938
36,0.066,-0.172,0.984
37,0.113,-0.012,0.926
38,0.027,-0.074,0.977
39,-0.031,-0.043,0.852
40,0.121,0.035,0.992
41,-0.086,-0.180,1.016
42,0.113,-0.039,0.914
43,-0.039,-0.035,0.938
44,0.000,-0.047,1.090
45,0.141,-0.133,0.887
46,-0.090,0.023,0.887
47,0.078,-0.066,0.992
48,0.090,-0.012,0.984
49,-0.039,-0.188,0.938
50,0.254,-0.059,0.922
51,-0.148,-0.066,0.965
52,0.176,-0.105,0.980
53,0.082,-0.070,0.910
54,-0.148,-0.062,1.059
55,0.199,-0.105,0.969
56,-0.102,0.008,0.934
57,0.113,-0.105,1.031
58,0.035,-0.051,0.887
59,-0.090,-0.051,1.027
60,0.113,-0.094,0.891
61,-0.051,0.074,0.988
62,0.156,-0.102,0.988
63,-0.043,-0.039,0.805
64,0.066,-0.129,1.145
65,0.062,-0.070,0.961
66,0.062,0.062,0.875
67,0.039,-0.098,0.965
68,-0.035,-0.082,1.023
69,0.094,-0.117,0.965
70,-0.059,-0.047,0.922
71,0.035,0.062,0.992
72,0.078,-0.098,1.004
73,0.094,-0.105,0.879
74,0.109,-0.086,1.004
75,-0.023,-0.148,0.977
76,0.129,-0.043,0.953
77,-0.055,-0.020,0.922
78,-0.035,-0.016,0.988
79,0.090,-0.039,1.012
80,-0.082,-0.160,0.953
81,0.207,-0.023,0.980
82,-0.023,-0.059,0.957
83,0.148,-0.043,1.008
84,0.031,-0.086,0.879
85,-0.051,-0.012,0.988
86,0.012,-0.156,0.961
87,-0.035,0.051,0.930
88,0.016,-0.055,1.000
89,0.039,0.000,0.969
90,0.121,-0.164,0.996
91,0.020,-0.066,0.996
92,0.164,-0.070,0.914
93,-0.055,-0.035,0.918
94,0.078,-0.070,1.012
95,-0.031,-0.035,0.898
96,-0.031,-0.051,0.969
97,0.168,-0.137,0.938
98,-0.125,-0.020,1.008
99,0.141,-0.082,0.922
100,0.031,-0.016,0.949
101,0.074,-0.051,0.992
102,0.012,-0.094,0.906
103,0.078,-0.039,0.988
104,-0.113,-0.207,0.941
105,0.172,0.113,0.941
106,-0.098,-0.117,0.988
107,0.137,0.004,0.969
108,0.027,-0.180,0.965
109,-0.051,-0.039,1.047
110,0.199,-0.031,0.906
111,-0.168,-0.055,1.027
112,0.148,-0.039,0.957
113,-0.094,-0.035,0.906
114,0.086,-0.082,1.090
115,0.023,-0.117,0.875
116,0.098,0.082,0.988
117,0.055,-0.230,1.023
118,0.051,0.066,0.918
119,0.012,-0.141,0.938
120,0.082,-0.020,0.980
121,-0.066,-0.098,0.941
122,-0.004,0.047,1.023
123,0.152,-0.023,0.906
124,-0.137,-0.051,0.902
125,0.188,-0.117,1.039
126,-0.055,0.020,0.887
127,0.066,-0.043,0.984
128,0.094,-0.086,0.949
129,-0.031,0.070,0.992
130,0.109,-0.230,0.969
131,-0.027,-0.039,0.918
132,-0.031,-0.043,1.020
133,0.180,0.008,0.902
134,-0.105,-0.031,0.953
135,0.078,-0.180,1.062
136,0.062,0.016,0.969
137,-0.051,-0.090,0.961
138,0.113,-0.008,0.898
139,-0.121,-0.043,1.055
140,0.148,-0.129,0.992
141,-0.020,-0.070,0.887
142,0.113,-0.035,0.980
143,0.055,-0.113,1.004
144,0.102,-0.031,0.945
145,-0.109,-0.105,0.914
146,0.199,0.074,1.016
147,-0.172,-0.137,0.945
148,0.230,0.023,0.938
149,-0.023,-0.047,0.938
150,-0.062,0.016,1.023
151,0.133,-0.191,0.926
152,-0.012,0.094,0.906
153,0.059,-0.207,0.992
154,0.035,0.020,0.949
155,-0.012,-0.113,1.031
156,0.125,-0.016,0.883
157,0.020,-0.070,0.992
158,-0.023,-0.109,0.980
159,0.133,0.020,0.922
160,-0.113,-0.121,1.023
161,0.145,-0.020,0.973
162,-0.012,-0.020,0.941
163,-0.016,-0.035,1.020
164,0.148,-0.105,0.918
165,-0.047,-0.129,1.008
166,0.121,-0.047,0.941
167,-0.004,0.059,0.941
168,0.039,-0.145,1.020
169,0.059,-0.090,0.926
170,-0.055,-0.031,0.984
171,0.105,-0.039,0.918
172,0.039,-0.059,0.973
173,-0.012,-0.074,1.000
174,0.109,-0.082,0.926
175,-0.023,-0.035,1.004
176,0.105,-0.105,0.945
177,-0.023,-0.031,0.906
178,0.031,-0.086,1.023
179,-0.023,-0.031,0.953
180,0.055,0.000,0.988
181,0.141,-0.145,0.957
182,0.074,-0.078,0.992
183,0.031,-0.102,0.984
184,-0.047,-0.059,0.949
185,0.047,0.012,0.957
186,-0.102,-0.008,0.953
187,0.031,-0.047,1.004
188,0.008,-0.113,0.906
189,0.074,-0.086,1.047
190,0.148,-0.020,0.969
191,0.027,-0.012,0.891
192,0.102,-0.172,0.945
193,0.016,-0.043,1.027
194,0.039,-0.137,0.934
195,0.016,-0.031,0.855
196,-0.070,-0.078,1.109
197,0.133,0.020,0.941
198,-0.059,-0.078,0.879
199,0.102,-0.184,1.066
200,0.004,0.000,0.906
201,0.102,-0.020,0.984
202,0.047,-0.086,0.898
203,-0.102,0.020,0.969
204,0.199,-0.164,1.035
205,-0.066,-0.059,0.887
206,0.141,-0.082,0.977
207,0.070,-0.043,0.965
208,0.004,-0.020,1.008
209,0.062,-0.180,0.914
210,-0.082,0.035,1.008
211,0.043,-0.016,0.996
212,-0.027,-0.004,0.891
213,0.082,-0.105,0.988
214,-0.047,-0.090,1.000
215,0.172,-0.078,1.004
216,0.020,-0.031,0.867
217,0.035,0.039,0.984
218,0.156,-0.125,1.082
219,-0.090,-0.066,0.820
220,0.066,-0.172,1.027
221,0.074,-0.004,1.020
222,-0.094,-0.016,0.895
223,0.203,-0.062,1.016
224,-0.242,-0.035,0.961
225,0.148,0.016,0.965
226,0.066,-0.148,0.934
227,-0.055,-0.016,0.914
228,0.230,-0.070,0.965
229,-0.059,-0.121,1.070
230,0.094,-0.078,0.922
231,0.098,0.023,0.914
232,-0.047,-0.078,1.004
233,0.035,-0.082,0.895
234,0.047,-0.156,1.016
235,-0.035,-0.020,0.953
236,0.039,0.008,0.969
237,0.078,0.027,0.953
238,-0.078,-0.043,0.930
239,0.184,-0.219,1.031
240,-0.031,-0.113,0.906
241,0.133,0.012,0.914
242,0.039,-0.062,1.004
243,-0.035,-0.082,0.949
244,0.055,-0.082,0.988
245,0.012,-0.004,0.949
246,0.027,-0.164,0.930
247,0.129,-0.004,0.996
248,-0.090,-0.070,1.000
249,0.137,0.020,0.918
250,-0.027,-0.086,0.969
251,-0.078,-0.086,1.020
252,0.141,-0.012,0.941
253,-0.129,-0.113,0.945
254,0.223,-0.043,1.031
255,-0.023,-0.098,0.969
256,0.109,-0.047,0.941
257,0.105,-0.156,0.984
258,-0.031,0.035,0.953
259,0.027,-0.125,0.996
260,0.047,0.047,0.926
261,-0.078,-0.094,0.980
262,0.062,-0.074,0.918
263,-0.004,-0.027,1.035
264,0.035,-0.031,0.926
265,0.094,-0.047,0.887
266,0.020,-0.105,1.043
267,0.051,-0.164,0.922
268,0.113,-0.004,0.965
269,0.035,-0.105,0.945
270,-0.031,-0.012,0.918
271,0.133,-0.109,1.062
272,-0.145,-0.035,0.879
273,0.133,-0.043,0.961
274,-0.051,-0.078,0.988
275,-0.012,0.031,0.996
276,0.168,-0.098,0.953
277,-0.117,-0.102,1.012
278,0.246,0.012,0.973
279,-0.008,-0.066,0.855
280,0.074,-0.145,1.012
281,0.027,-0.172,0.926
282,-0.035,0.043,0.988
283,0.086,-0.059,0.953
284,-0.039,0.121,0.926
285,0.082,-0.191,1.051
286,-0.008,-0.137,0.961
287,0.098,-0.070,0.957
288,0.008,0.059,0.902
289,0.039,-0.016,1.008
290,-0.031,-0.215,0.953
