Sample,X,Y,Z
0,0.070,-0.043,0.789
1,0.035,-0.047,0.961
2,-0.020,-0.070,1.004
3,-0.062,-0.043,0.992
4,0.027,-0.027,0.973
5,0.023,0.035,0.953
6,0.035,-0.062,0.988
7,-0.031,0.008,0.949
8,0.000,-0.098,0.992
9,0.031,-0.047,0.992
10,-0.012,-0.043,0.969
11,0.004,-0.059,1.000
12,-0.039,0.051,0.941
13,0.008,-0.098,1.008
14,0.008,-0.043,0.938
15,0.000,0.012,0.992
16,0.078,-0.027,1.012
17,-0.023,-0.016,0.910
18,0.004,-0.176,0.996
19,0.027,-0.008,0.973
20,0.039,-0.012,0.992
21,0.020,-0.023,0.980
22,-0.016,-0.043,0.969
23,-0.020,-0.031,1.008
24,-0.023,0.016,0.984
25,-0.023,-0.145,0.969
26,-0.004,0.004,0.980
27,0.016,-0.055,0.980
28,0.039,0.027,0.949
29,0.031,-0.051,0.973
30,0.008,-0.086,0.969
31,0.000,-0.035,0.961
32,0.008,-0.051,1.008
33,0.016,-0.023,0.988
34,-0.020,-0.012,0.945
35,0.008,-0.066,1.020
36,0.000,-0.023,0.945
37,0.004,-0.020,0.984
38,0.039,-0.039,0.996
39,0.004,-0.012,0.922
40,0.004,-0.074,1.004
41,-0.039,-0.055,0.949
42,-0.027,-0.031,0.973
43,0.035,-0.027,1.012
44,0.023,-0.008,0.953
45,0.047,-0.023,1.008
46,0.000,-0.023,0.949
47,0.016,-0.098,0.996
48,-0.004,-0.074,0.953
49,0.000,-0.074,0.973
50,0.027,0.000,1.000
51,0.008,-0.012,0.926
52,-0.004,-0.035,0.992
53,-0.004,-0.035,0.973
54,-0.027,-0.012,0.973
55,0.004,-0.055,1.023
56,-0.004,-0.027,0.973
57,0.027,-0.039,0.973
58,0.020,-0.016,0.980
59,0.039,-0.086,0.957
60,0.020,0.016,0.961
61,0.062,-0.074,1.012
62,0.000,-0.016,0.961
63,-0.012,-0.070,0.988
64,-0.066,-0.055,0.980
65,-0.039,0.008,0.988
66,-0.020,0.012,0.957
67,-0.016,0.000,0.988
68,0.066,-0.062,0.996
69,0.008,-0.031,0.906
70,0.070,-0.086,1.027
71,0.055,-0.008,0.945
72,-0.027,-0.102,0.969
73,-0.008,-0.090,1.004
74,-0.020,0.016,0.941
75,0.000,0.055,1.004
76,0.039,0.062,0.965
77,-0.012,-0.035,0.969
78,-0.008,-0.059,1.016
79,-0.008,-0.059,0.980
80,0.000,-0.035,0.980
81,0.023,-0.078,0.980
82,0.004,-0.023,0.934
83,0.031,-0.016,0.980
84,0.035,-0.043,0.977
85,0.035,0.000,0.977
86,0.000,-0.070,1.027
87,-0.039,-0.043,0.973
88,-0.059,-0.031,0.965
89,0.012,-0.047,0.988
90,0.004,0.023,0.934
91,0.000,-0.043,0.992
92,0.004,-0.031,1.000
93,0.004,-0.059,0.965
94,0.004,-0.074,1.008
95,0.027,-0.094,1.016
96,0.039,-0.098,0.988
97,-0.016,-0.035,1.016
98,0.004,-0.109,1.035
99,0.039,-0.066,0.977
100,0.004,-0.117,0.992
101,0.020,-0.207,1.020
102,-0.043,-0.105,0.953
103,-0.039,-0.203,1.020
104,0.023,-0.258,1.023
105,0.008,-0.230,0.965
106,-0.008,-0.250,1.043
107,0.004,-0.238,1.000
108,-0.012,-0.242,0.934
109,0.023,-0.312,0.945
110,0.035,-0.305,0.895
111,0.008,-0.266,0.887
112,0.051,-0.277,0.918
113,0.070,-0.266,0.863
114,-0.008,-0.238,0.895
115,-0.055,-0.250,0.949
116,-0.074,-0.176,0.898
117,-0.078,-0.152,0.934
118,0.012,-0.156,0.973
119,-0.008,-0.086,0.914
120,0.000,-0.242,0.988
121,0.062,-0.281,0.949
122,0.047,-0.250,0.934
123,0.094,-0.246,0.988
124,0.012,-0.203,0.895
125,-0.004,-0.203,0.996
126,-0.012,-0.230,0.992
127,-0.039,-0.223,1.039
128,0.023,-0.148,1.062
129,0.012,-0.074,0.953
130,0.043,-0.066,0.988
131,0.027,-0.066,0.930
132,-0.047,-0.215,1.000
133,-0.070,-0.207,1.070
134,-0.035,-0.090,1.039
135,-0.016,0.051,1.047
136,0.000,0.125,0.977
137,-0.004,0.035,0.895
138,0.020,-0.016,1.000
139,0.082,-0.098,1.020
140,0.090,0.043,0.980
141,0.191,0.043,1.023
142,0.094,0.098,0.824
143,-0.039,-0.055,0.871
144,-0.156,-0.160,0.910
145,-0.211,-0.031,0.961
146,-0.012,0.070,1.125
147,0.031,0.137,0.992
148,0.062,-0.031,1.074
149,0.031,-0.273,1.027
150,-0.008,-0.355,1.047
151,0.094,-0.207,1.164
152,0.125,-0.094,1.113
153,0.047,-0.086,1.016
154,-0.059,-0.172,0.973
155,-0.094,-0.297,1.035
156,-0.133,-0.102,1.074
157,-0.047,-0.152,1.109
158,-0.031,-0.070,0.977
159,0.047,-0.055,0.891
160,0.125,-0.145,0.758
161,0.062,-0.246,0.754
162,0.059,-0.391,0.848
163,-0.039,-0.230,0.801
164,0.027,-0.188,1.000
165,0.051,-0.254,0.867
166,-0.031,-0.270,0.809
167,-0.039,-0.176,0.965
168,-0.094,0.051,0.938
169,-0.020,-0.125,1.004
170,-0.086,-0.379,0.977
171,-0.102,-0.398,1.043
172,0.035,-0.273,1.059
173,0.086,-0.340,0.980
174,0.156,-0.293,0.969
175,0.109,-0.180,0.926
176,-0.039,-0.074,0.918
177,-0.102,-0.207,0.992
178,-0.051,-0.402,1.020
179,-0.008,-0.215,1.012
180,0.008,0.008,1.102
181,0.047,0.082,1.004
182,0.000,-0.066,0.832
183,-0.051,-0.316,0.855
184,-0.098,-0.211,0.965
185,0.043,-0.090,1.105
186,0.203,-0.070,1.098
187,0.234,-0.078,1.078
188,0.094,-0.012,0.984
189,-0.129,-0.082,0.855
190,-0.164,-0.082,0.863
191,0.012,0.000,0.867
192,0.066,0.121,0.961
193,-0.051,0.094,1.027
194,-0.199,-0.086,1.051
195,-0.156,-0.207,0.980
196,-0.059,-0.156,0.969
197,0.090,0.141,0.988
198,0.160,0.250,1.016
199,0.129,-0.055,1.031
200,0.043,-0.277,1.000
201,0.012,-0.383,1.078
202,0.020,-0.160,1.098
203,0.039,-0.070,1.086
204,-0.027,-0.082,1.039
205,-0.086,-0.074,0.973
206,-0.113,-0.043,1.012
207,-0.020,-0.008,1.035
208,-0.004,-0.152,1.043
209,0.039,-0.359,1.055
210,0.016,-0.324,0.906
211,0.102,-0.191,0.852
212,0.219,-0.109,0.828
213,0.090,-0.211,0.785
214,-0.117,-0.328,0.906
215,-0.145,-0.238,0.957
216,-0.082,-0.012,0.953
217,0.035,-0.105,0.941
218,-0.039,-0.270,0.887
219,-0.195,-0.246,0.895
220,-0.105,-0.172,0.992
221,0.055,-0.113,0.969
222,0.156,-0.223,0.941
223,0.070,-0.438,0.840
224,-0.012,-0.352,0.914
225,0.082,-0.176,1.023
226,0.105,-0.117,0.996
227,0.012,-0.199,1.039
228,-0.137,-0.250,1.000
229,-0.117,-0.102,0.992
230,0.023,-0.062,1.043
231,0.059,-0.273,1.039
232,0.035,-0.391,1.039
233,-0.020,-0.172,0.988
234,-0.023,-0.031,1.000
235,0.070,-0.176,0.895
236,0.117,-0.289,0.832
237,0.062,-0.121,1.059
238,-0.039,0.035,1.164
239,-0.086,0.004,1.051
240,-0.020,-0.137,0.934
241,-0.004,-0.039,0.867
242,-0.074,0.148,0.871
243,-0.090,0.035,0.906
244,0.055,-0.113,0.980
245,0.051,-0.168,1.027
246,0.043,-0.016,1.051
247,-0.031,0.082,0.980
248,-0.012,-0.066,0.883
249,0.043,-0.102,0.883
250,0.055,0.051,0.996
251,0.074,0.004,1.141
252,-0.016,-0.164,1.082
253,-0.023,-0.289,1.078
254,0.004,-0.242,1.055
255,-0.098,-0.023,0.902
256,-0.004,-0.082,1.016
257,0.055,-0.086,0.926
258,0.074,-0.027,0.988
259,-0.004,-0.188,1.082
260,-0.070,-0.230,0.988
261,0.012,-0.324,0.973
262,0.000,-0.129,0.895
263,0.055,0.000,0.957
264,0.062,-0.039,0.871
265,0.039,-0.059,0.871
266,0.008,-0.258,1.016
267,-0.082,-0.293,0.984
268,-0.098,-0.211,0.961
269,-0.055,-0.137,0.973
270,0.059,-0.113,0.910
271,0.020,-0.105,0.844
272,0.039,-0.242,1.016
273,0.055,-0.250,1.012
274,0.023,-0.301,1.023
275,0.016,-0.277,1.027
276,0.012,-0.250,0.879
277,-0.016,-0.188,0.891
278,-0.016,-0.145,0.953
279,-0.016,-0.211,1.047
280,0.020,-0.223,1.078
281,-0.043,-0.156,0.988
282,-0.016,-0.195,1.004
283,-0.008,-0.160,0.855
284,-0.023,-0.211,0.871
285,0.070,-0.199,1.070
286,0.086,-0.090,1.004
287,0.043,-0.078,1.055
288,0.070,-0.141,1.047
289,-0.004,-0.102,0.855
290,-0.078,-0.094,0.906
291,-0.086,-0.039,0.910
