Sample,X,Y,Z
0,-0.031,0.020,0.621
1,0.039,0.000,1.012
2,0.031,-0.035,0.965
3,0.066,-0.090,0.992
4,0.008,-0.043,0.992
5,-0.039,-0.074,0.984
6,0.039,-0.016,0.973
7,0.000,-0.004,0.910
8,0.004,-0.086,1.000
9,-0.023,-0.008,0.953
10,0.000,0.008,0.977
11,0.074,-0.020,1.023
12,-0.004,-0.082,0.945
13,-0.023,-0.059,0.977
14,-0.004,-0.027,0.977
15,-0.004,0.008,0.957
16,0.062,-0.039,0.988
17,0.051,-0.023,0.973
18,0.016,-0.062,0.969
19,0.004,-0.047,0.984
20,0.000,-0.086,0.941
21,-0.031,-0.039,0.996
22,0.020,-0.031,0.988
23,-0.039,0.047,0.941
24,0.004,-0.086,1.051
25,-0.023,0.012,0.949
26,-0.004,-0.027,0.953
27,0.062,-0.074,1.023
28,0.012,-0.062,0.906
29,0.000,-0.039,0.996
30,0.031,-0.086,1.008
31,0.004,-0.016,0.949
32,0.008,-0.008,0.996
33,-0.020,-0.062,0.965
34,-0.035,0.035,0.945
35,0.000,-0.031,1.004
36,0.000,-0.020,0.980
37,0.031,-0.039,0.996
38,0.012,-0.074,0.969
39,0.027,-0.051,0.977
40,0.023,-0.059,0.969
41,0.012,-0.027,0.938
42,-0.012,-0.020,0.984
43,-0.016,-0.066,0.992
44,-0.004,0.027,0.977
45,0.035,-0.043,1.000
46,0.043,-0.043,0.965
47,0.000,-0.031,0.957
48,-0.004,-0.020,1.008
49,-0.012,-0.074,0.957
50,-0.031,-0.055,0.957
51,-0.023,-0.059,0.984
52,0.023,0.000,0.969
53,0.043,-0.039,0.961
54,0.043,-0.043,0.992
55,0.012,-0.078,0.988
56,-0.016,-0.062,0.980
57,0.000,-0.016,0.992
58,0.020,0.012,0.969
59,-0.023,-0.066,0.934
60,-0.031,-0.020,0.992
61,0.012,-0.043,0.957
62,0.035,-0.016,0.969
63,0.051,-0.051,0.992
64,0.078,-0.055,0.984
65,-0.012,0.004,0.961
66,-0.016,-0.090,1.023
67,-0.004,-0.039,0.953
68,-0.023,0.004,0.965
69,-0.008,-0.043,1.012
70,-0.004,0.004,0.934
71,0.012,-0.051,0.965
72,0.051,-0.074,0.984
73,0.031,-0.004,0.977
74,-0.004,-0.062,0.992
75,-0.031,-0.062,0.977
76,0.035,-0.055,0.961
77,0.031,0.023,0.934
78,0.004,-0.066,0.992
79,0.004,-0.016,0.988
80,-0.020,-0.059,0.953
81,0.008,-0.074,1.008
82,0.047,-0.051,0.949
83,0.016,-0.008,0.953
84,0.039,0.004,1.004
85,-0.008,-0.039,0.984
86,-0.031,-0.035,1.016
87,-0.012,-0.078,1.047
88,-0.031,-0.164,0.953
89,-0.020,-0.027,0.938
90,0.051,0.031,0.918
91,0.082,0.020,0.891
92,0.043,-0.141,0.914
93,0.043,-0.168,0.984
94,0.035,-0.012,1.035
95,0.000,-0.008,1.023
96,-0.035,0.055,0.980
97,-0.090,0.020,0.965
98,-0.113,0.000,0.984
99,-0.074,-0.012,0.984
100,0.059,-0.004,1.027
101,0.141,0.043,0.977
102,0.141,-0.055,0.945
103,0.027,-0.148,0.914
104,-0.039,-0.219,0.996
105,-0.062,0.008,0.973
106,-0.020,0.070,1.012
107,-0.016,0.035,1.016
108,-0.047,0.004,0.973
109,0.012,-0.059,0.980
110,0.027,-0.043,0.957
111,0.082,-0.121,1.008
112,0.086,-0.078,0.953
113,0.035,-0.133,0.934
114,0.004,-0.145,0.984
115,-0.055,-0.102,0.973
116,-0.066,-0.055,1.023
117,-0.062,-0.043,1.035
118,-0.016,-0.133,1.031
119,0.027,-0.102,1.008
120,0.043,-0.184,1.008
121,0.039,-0.191,0.992
122,0.078,-0.164,0.973
