Sample,Timestamp,Measured Motor Steps,Target Motor Steps
0,0.05,-3740.31,-3820.17
1,4.07,-3740.33,-3820.17
2,8.08,-3740.36,-3820.17
3,12.10,-3740.33,-3820.17
4,16.10,-3740.32,-3820.17
5,20.10,-3740.34,-3820.17
6,24.10,-3740.33,-3820.17
7,28.06,-3740.32,-3820.17
8,32.07,-3740.32,-3820.17
9,36.08,-3740.33,-3820.17
10,40.10,-3740.32,-3820.17
11,44.11,-3740.32,-3820.17
12,48.08,-3740.32,-3820.17
13,52.05,-3740.32,-3820.17
14,56.09,-3740.33,-3820.17
15,60.04,-3740.31,-3820.17
16,64.10,-3740.31,-3820.17
17,68.05,-3740.33,-3820.17
18,72.08,-3740.34,-3820.17
19,76.06,-3740.28,-3820.17
20,80.09,-3740.34,-3820.17
21,84.10,-3740.31,-3820.17
22,88.04,-3740.32,-3820.17
23,92.10,-3740.34,-3820.17
24,96.09,-3740.33,-3820.18
25,100.09,-3740.33,-3820.22
26,104.11,-3740.32,-3820.31
27,108.10,-3740.31,-3820.45
28,112.07,-3740.36,-3820.65
29,116.05,-3740.34,-3820.89
30,120.05,-3740.34,-3821.18
31,124.10,-3740.36,-3821.53
32,128.08,-3740.34,-3821.92
33,132.09,-3740.34,-3822.36
34,136.10,-3740.31,-3822.85
35,140.10,-3740.33,-3823.40
36,144.08,-3740.34,-3823.99
37,148.10,-3740.34,-3824.63
38,152.09,-3740.38,-3825.32
39,156.09,-3740.31,-3826.07
40,160.11,-3740.37,-3826.86
41,164.09,-3740.36,-3827.70
42,168.11,-3740.33,-3828.58
43,172.10,-3740.32,-3829.43
44,176.05,-3740.31,-3830.22
45,180.10,-3740.32,-3830.97
46,184.10,-3740.32,-3831.67
47,188.09,-3740.32,-3832.31
48,192.11,-3740.33,-3832.91
49,196.09,-3740.33,-3833.46
50,200.10,-3740.39,-3833.95
51,204.09,-3740.37,-3834.40
52,208.10,-3740.32,-3834.80
53,212.11,-3740.36,-3835.14
54,216.09,-3740.31,-3835.44
55,220.10,-3740.33,-3835.68
56,224.09,-3740.33,-3835.88
57,228.10,-3740.33,-3836.03
58,232.07,-3740.33,-3836.12
59,236.06,-3740.31,-3836.17
60,240.03,-3740.32,-3836.17
61,244.06,-3740.26,-3836.17
62,248.07,-3740.36,-3836.17
63,252.10,-3740.31,-3836.17
64,256.09,-3740.32,-3836.17
65,260.04,-3740.34,-3836.17
66,264.05,-3740.31,-3836.17
67,268.06,-3740.34,-3836.17
68,272.06,-3740.37,-3836.17
69,276.08,-3740.33,-3836.17
70,280.09,-3740.31,-3836.17
71,284.11,-3740.33,-3836.17
72,288.05,-3740.31,-3836.17
73,292.08,-3740.31,-3836.17
74,296.08,-3740.36,-3836.17
75,300.08,-3740.33,-3836.17
76,304.11,-3740.38,-3836.17
77,308.11,-3740.31,-3836.17
78,312.11,-3740.32,-3836.17
79,316.06,-3740.33,-3836.17
80,320.08,-3740.33,-3836.17
81,324.07,-3740.36,-3836.17
82,328.10,-3740.33,-3836.17
83,332.10,-3740.33,-3836.17
84,336.04,-3740.37,-3836.17
85,340.04,-3740.33,-3836.17
86,344.07,-3740.33,-3836.17
87,348.09,-3740.36,-3836.17
88,352.10,-3740.33,-3836.17
89,356.04,-3740.31,-3836.17
90,360.05,-3740.34,-3836.17
91,364.06,-3740.33,-3836.17
92,368.07,-3740.34,-3836.17
93,372.08,-3740.32,-3836.17
94,376.10,-3740.34,-3836.17
95,380.10,-3740.31,-3836.17
96,384.10,-3740.32,-3836.17
97,388.05,-3740.33,-3836.17
98,392.04,-3740.36,-3836.17
99,396.07,-3740.31,-3836.17
100,400.05,-3740.34,-3836.17
101,404.07,-3740.33,-3836.17
102,408.09,-3740.37,-3836.17
103,412.11,-3740.33,-3836.17
104,416.11,-3740.33,-3836.17
105,420.05,-3740.36,-3836.17
106,424.05,-3740.32,-3836.17
107,428.07,-3740.33,-3836.17
108,432.10,-3740.32,-3836.17
109,436.04,-3740.33,-3836.17
110,440.05,-3740.31,-3836.17
111,444.05,-3740.32,-3836.17
112,448.09,-3740.33,-3836.17
113,452.04,-3740.32,-3836.17
114,456.06,-3740.34,-3836.17
115,460.08,-3740.28,-3836.17
116,464.09,-3740.32,-3836.17
117,468.11,-3740.36,-3836.17
118,472.04,-3740.26,-3836.17
119,476.11,-3740.31,-3836.17
120,480.06,-3740.32,-3836.17
121,484.06,-3740.38,-3836.17
122,488.05,-3740.33,-3836.17
123,492.08,-3740.33,-3836.17
124,496.10,-3740.25,-3836.17
125,500.03,-3740.31,-3836.17
126,504.06,-3740.32,-3836.17
127,508.08,-3740.32,-3836.17
128,512.07,-3740.38,-3836.17
129,516.08,-3740.32,-3836.17
130,520.10,-3740.33,-3836.17
131,524.04,-3740.31,-3836.17
132,528.06,-3740.37,-3836.17
133,532.07,-3740.31,-3836.17
134,536.08,-3740.33,-3836.17
135,540.08,-3740.31,-3836.17
136,544.10,-3740.28,-3836.17
137,548.11,-3740.31,-3836.17
138,552.04,-3740.27,-3836.17
139,556.05,-3740.32,-3836.17
140,560.06,-3740.32,-3836.17
141,564.07,-3740.32,-3836.17
142,568.07,-3740.27,-3836.17
143,572.07,-3740.28,-3836.17
144,576.09,-3740.33,-3836.17
145,580.04,-3740.28,-3836.17
146,584.11,-3740.32,-3836.17
147,588.04,-3740.31,-3836.17
148,592.06,-3740.32,-3836.17
149,596.07,-3740.32,-3836.17
150,600.08,-3740.32,-3836.17
151,604.10,-3740.33,-3836.17
152,608.11,-3740.28,-3836.17
153,612.11,-3740.31,-3836.17
154,616.04,-3740.33,-3836.17
155,620.06,-3740.33,-3836.17
156,624.06,-3740.31,-3836.17
157,628.09,-3740.31,-3836.17
158,632.10,-3740.33,-3836.17
159,636.05,-3740.33,-3836.17
160,640.07,-3740.32,-3836.17
161,644.06,-3740.33,-3836.17
162,648.07,-3740.38,-3836.17
163,652.09,-3740.36,-3836.17
164,656.11,-3740.33,-3836.17
165,660.05,-3740.31,-3836.17
166,664.06,-3740.32,-3836.17
167,668.07,-3740.33,-3836.17
168,672.07,-3740.31,-3836.17
169,676.10,-3740.28,-3836.17
170,680.11,-3740.28,-3836.17
171,684.05,-3740.36,-3836.17
172,688.07,-3740.32,-3836.17
173,692.10,-3740.32,-3836.17
174,696.10,-3740.31,-3836.17
175,700.11,-3740.31,-3836.17
176,704.06,-3740.28,-3836.17
177,708.09,-3740.32,-3836.17
178,712.04,-3740.34,-3836.17
179,716.04,-3740.34,-3836.17
180,720.08,-3740.31,-3836.17
181,724.10,-3740.33,-3836.17
182,728.10,-3740.36,-3836.17
183,732.11,-3740.31,-3836.17
184,736.05,-3740.33,-3836.17
185,740.06,-3740.31,-3836.17
186,744.07,-3740.32,-3836.17
187,748.07,-3740.31,-3836.17
188,752.09,-3740.33,-3836.17
189,756.10,-3740.31,-3836.17
190,760.11,-3740.38,-3836.17
191,764.04,-3740.31,-3836.17
192,768.11,-3740.28,-3836.17
193,772.05,-3740.37,-3836.17
194,776.05,-3740.31,-3836.17
195,780.08,-3740.33,-3836.17
196,784.10,-3740.36,-3836.17
197,788.11,-3740.32,-3836.17
198,792.08,-3740.33,-3836.17
199,796.10,-3740.33,-3836.17
200,800.09,-3740.27,-3836.17
201,804.11,-3740.33,-3836.17
202,808.05,-3740.32,-3836.17
203,812.06,-3740.33,-3836.17
204,816.06,-3740.36,-3836.17
205,820.08,-3740.36,-3836.17
206,824.09,-3740.33,-3836.17
207,828.09,-3740.31,-3836.17
208,832.10,-3740.32,-3836.17
209,836.05,-3740.33,-3836.17
210,840.07,-3740.33,-3836.17
211,844.07,-3740.27,-3836.17
212,848.10,-3740.36,-3836.17
213,852.04,-3740.33,-3836.17
