Sample,X,Y,Z
0,-0.051,-0.199,0.715
1,0.059,-0.035,1.039
2,0.105,0.090,0.961
3,0.020,0.000,0.996
4,-0.023,-0.203,0.914
5,-0.117,-0.023,0.934
6,0.145,-0.109,1.000
7,-0.043,0.023,0.895
8,-0.012,-0.066,1.016
9,0.113,-0.086,0.938
10,0.125,0.008,0.965
11,0.082,-0.223,1.066
12,-0.043,0.051,0.859
13,0.023,-0.125,0.953
14,0.004,-0.004,0.992
15,-0.090,0.012,1.004
16,0.113,-0.059,0.859
17,-0.055,-0.117,0.996
18,0.172,-0.164,1.156
19,0.035,-0.027,0.918
20,0.027,0.133,0.832
21,0.129,-0.086,0.973
22,-0.133,-0.191,1.125
23,0.047,-0.285,0.906
24,0.016,0.297,0.750
25,0.082,-0.078,1.168
26,0.016,-0.273,1.000
27,0.039,-0.039,0.898
28,0.129,0.043,0.992
29,-0.051,-0.008,0.855
30,-0.039,-0.188,1.035
31,0.047,0.023,0.930
32,-0.012,-0.020,0.922
33,0.086,-0.086,1.039
34,0.023,-0.047,1.066
35,0.086,-0.195,0.938
36,0.051,0.047,0.828
37,0.004,0.004,1.059
38,0.082,-0.148,0.906
39,0.008,-0.227,0.902
40,-0.035,0.012,1.059
41,0.102,0.121,1.000
42,0.004,-0.133,0.930
43,-0.035,-0.098,0.973
44,0.027,0.051,0.984
45,0.066,-0.031,0.891
46,0.031,-0.211,0.855
47,0.070,-0.195,1.098
48,0.105,0.164,1.031
49,-0.016,-0.020,0.883
50,0.012,-0.055,0.879
51,0.105,-0.105,1.020
52,-0.062,-0.172,1.035
53,0.109,-0.070,0.914
54,-0.031,0.137,0.941
55,0.047,0.043,1.078
56,0.059,-0.227,0.930
57,-0.102,-0.195,0.938
58,0.066,0.121,0.930
59,0.113,0.016,1.004
60,0.031,-0.184,1.051
61,0.027,-0.129,0.949
62,0.035,0.078,0.855
63,-0.008,-0.098,1.086
64,0.121,-0.211,0.922
65,-0.137,0.070,0.852
66,0.191,0.016,1.020
67,-0.020,-0.230,1.004
68,0.012,0.020,1.012
69,0.094,-0.094,0.934
70,-0.109,0.098,0.930
71,0.078,-0.180,1.023
72,-0.074,-0.039,0.863
73,0.113,-0.105,0.988
74,0.180,-0.152,1.023
75,-0.082,0.023,1.051
76,0.188,-0.039,0.840
77,-0.059,-0.148,0.902
78,0.043,-0.102,1.051
79,0.000,-0.090,0.930
80,-0.121,-0.027,1.012
81,0.121,-0.016,0.957
82,-0.020,0.055,0.938
83,0.055,-0.145,0.949
84,0.059,-0.105,0.887
85,0.074,-0.145,1.066
86,0.098,0.039,0.969
87,0.195,0.078,0.898
88,0.035,-0.141,1.043
89,0.102,-0.188,0.977
90,0.188,-0.223,1.000
91,0.234,0.188,0.910
92,0.301,-0.008,0.996
93,0.273,-0.176,0.941
94,0.379,-0.219,1.012
95,0.352,-0.051,0.961
96,0.238,0.027,0.973
97,0.516,-0.023,0.965
98,0.324,-0.020,0.957
99,0.430,-0.102,1.016
100,0.379,-0.312,0.965
101,0.328,-0.059,0.918
102,0.270,-0.133,0.980
103,0.129,0.059,0.984
104,0.336,0.004,0.855
105,0.242,-0.012,0.984
106,0.340,-0.113,1.090
107,0.480,-0.074,0.863
108,0.523,0.082,0.844
109,0.391,-0.211,0.969
110,0.363,-0.160,1.012
111,0.371,-0.152,0.852
112,0.086,-0.047,0.875
113,0.328,0.004,1.070
114,0.176,-0.031,0.961
115,0.203,-0.262,0.953
116,0.230,-0.055,0.973
117,0.148,0.172,1.078
118,0.215,-0.051,0.902
119,-0.035,-0.062,0.871
120,0.230,-0.074,1.090
121,-0.020,-0.039,0.922
122,0.023,-0.195,1.016
123,0.285,0.020,0.957
124,0.074,0.051,1.078
125,0.250,-0.172,0.949
126,0.457,0.109,0.824
127,0.469,-0.250,1.043
128,0.270,-0.316,0.859
129,0.168,-0.086,0.957
130,0.117,0.094,1.086
131,0.145,0.043,0.828
132,-0.109,-0.176,1.199
133,0.312,0.164,0.984
134,0.090,-0.086,0.727
135,0.367,-0.258,0.992
136,0.469,-0.074,1.051
137,0.266,-0.062,0.984
138,0.461,-0.094,0.871
139,0.082,0.066,0.973
140,0.250,-0.141,1.109
141,0.387,-0.168,0.758
142,0.094,-0.250,1.020
143,0.410,-0.016,1.070
144,0.109,0.102,0.918
145,0.133,-0.062,0.961
146,0.254,-0.152,0.836
147,0.078,0.059,1.020
148,0.473,0.047,1.008
149,0.227,-0.086,0.836
150,0.215,-0.039,0.973
151,0.453,-0.234,0.945
152,0.141,-0.199,0.996
153,0.184,-0.051,0.973
154,-0.035,-0.016,0.949
155,0.141,0.043,0.973
156,0.488,0.094,0.836
157,0.168,-0.098,1.117
158,0.367,-0.320,0.996
159,0.371,-0.148,0.898
160,0.004,0.055,1.184
161,0.230,0.059,0.797
162,-0.152,-0.012,0.906
163,0.355,-0.129,1.117
164,0.266,-0.215,0.922
165,0.434,0.098,0.984
166,0.648,-0.086,0.750
167,0.027,-0.246,1.016
168,0.387,-0.320,1.098
169,0.105,0.258,0.797
170,-0.016,0.125,0.969
171,0.094,-0.180,1.039
172,0.234,-0.086,1.094
173,0.355,-0.070,0.887
174,0.301,-0.043,0.727
175,0.277,-0.164,1.199
176,0.320,-0.031,0.840
177,0.133,-0.285,0.996
178,0.234,0.137,0.988
179,0.203,0.082,1.035
180,0.113,-0.312,0.980
181,0.195,-0.340,0.953
182,0.285,0.074,1.020
183,0.328,0.242,0.914
184,0.477,-0.227,1.004
185,0.168,-0.207,1.090
186,0.281,0.043,0.832
187,0.152,-0.301,0.871
188,0.145,0.008,0.906
189,0.141,-0.141,1.078
190,0.258,0.012,1.074
191,0.105,0.059,0.840
192,0.469,0.016,1.062
193,0.230,-0.062,0.879
194,0.191,-0.211,0.836
195,0.395,-0.176,0.918
196,-0.074,0.156,0.863
197,0.309,0.004,1.004
198,0.176,-0.047,0.973
199,0.055,-0.133,0.941
200,0.410,0.082,1.004
201,0.156,-0.090,0.902
202,0.305,-0.250,0.965
203,0.480,0.023,0.793
204,0.168,0.086,1.062
205,0.480,-0.121,1.016
206,0.016,-0.238,0.871
207,0.309,-0.168,1.188
208,0.203,-0.082,1.070
209,0.129,0.121,0.941
210,0.379,0.055,0.871
211,0.082,-0.375,1.070
212,0.273,-0.312,1.090
213,0.375,0.254,0.797
214,0.242,0.039,1.012
215,0.328,-0.230,1.000
216,0.176,-0.227,1.137
217,0.160,-0.086,0.848
218,0.066,0.117,0.770
219,0.129,-0.008,1.000
220,0.266,-0.160,1.020
221,0.348,-0.180,0.914
222,0.234,0.012,0.980
223,0.418,0.051,0.855
224,0.293,-0.160,0.953
225,0.168,-0.230,1.062
226,0.066,0.008,0.770
227,0.191,0.270,0.879
228,0.242,-0.402,1.207
229,0.211,-0.160,0.988
230,0.262,0.078,0.926
231,0.367,0.156,0.848
232,0.125,-0.266,0.969
233,0.332,-0.293,1.102
234,0.172,0.250,0.809
235,0.160,0.023,0.965
236,0.336,-0.227,1.043
237,0.297,-0.031,0.988
238,0.238,-0.340,0.887
239,0.273,0.113,0.918
240,0.180,-0.031,1.066
241,0.117,-0.398,0.973
242,-0.027,-0.031,0.812
243,0.426,0.344,1.031
244,0.293,-0.047,0.992
245,0.328,-0.578,1.062
246,0.387,-0.172,1.043
247,0.094,0.297,0.930
248,0.398,0.023,0.805
249,0.141,-0.082,0.875
250,0.113,-0.293,1.203
251,0.281,-0.188,0.887
252,0.098,0.180,0.781
253,0.137,0.035,1.020
254,0.312,0.039,0.984
255,0.125,-0.227,1.078
256,0.371,0.016,0.797
257,0.070,0.121,0.777
258,0.168,-0.289,1.199
259,0.277,-0.348,0.836
260,0.109,0.293,0.980
261,0.289,0.301,1.113
262,0.402,-0.406,0.863
263,0.324,-0.660,1.020
264,0.332,-0.016,1.168
265,0.141,0.098,0.910
266,0.207,0.207,0.812
267,0.051,-0.090,1.066
268,-0.012,-0.320,1.156
269,0.250,-0.086,0.914
270,0.191,0.215,0.977
271,0.336,-0.164,1.070
272,0.270,-0.211,0.996
273,0.195,-0.023,0.758
274,0.008,0.051,0.895
275,0.273,-0.035,0.867
276,0.512,-0.207,1.023
277,0.277,-0.285,1.066
278,0.520,0.246,0.855
279,0.188,0.016,0.812
280,0.082,-0.520,1.148
281,0.141,-0.047,0.754
282,0.094,0.480,0.910
283,-0.035,-0.074,1.234
284,0.234,-0.082,0.988
285,0.387,-0.129,0.891
286,0.363,-0.152,1.074
287,0.223,-0.113,0.820
288,-0.004,0.102,0.934
289,0.203,-0.199,0.918
290,-0.152,-0.004,1.035
291,0.188,0.055,0.957
292,-0.125,-0.340,1.055
293,-0.305,-0.168,0.996
294,0.016,0.090,0.949
295,-0.250,0.254,0.855
296,-0.043,-0.164,0.957
297,-0.211,-0.199,1.199
298,-0.137,-0.051,1.066
299,0.062,0.117,0.836
300,-0.027,-0.055,0.969
301,-0.070,-0.230,1.078
302,-0.055,-0.320,1.023
303,0.074,0.008,0.789
304,-0.062,-0.035,1.082
305,-0.148,-0.102,1.031
306,0.059,0.062,0.938
307,-0.137,-0.016,1.000
308,-0.082,-0.109,0.930
309,0.117,0.035,0.918
310,0.023,0.109,0.949
311,0.164,-0.172,0.883
312,0.184,-0.078,1.020
313,0.328,-0.102,0.984
314,0.121,-0.379,1.023
315,0.070,0.086,0.852
316,0.109,0.125,0.789
317,-0.125,-0.352,1.211
318,0.035,-0.055,0.895
319,0.230,0.301,0.844
320,-0.031,-0.250,1.176
321,0.199,-0.031,0.910
322,-0.059,0.227,0.840
323,-0.016,-0.121,0.832
324,0.023,-0.129,0.801
325,0.168,-0.066,0.871
326,0.117,-0.301,1.176
327,-0.004,-0.160,0.840
328,0.137,0.234,0.895
329,0.230,0.016,1.125
330,-0.172,-0.359,0.871
331,0.035,-0.008,0.949
332,0.012,-0.090,1.074
333,-0.195,0.066,1.070
334,0.074,-0.074,1.180
335,-0.137,0.137,0.941
336,-0.203,-0.223,1.035
337,-0.039,-0.219,1.160
338,0.035,0.348,0.738
339,0.234,-0.086,0.895
340,0.059,-0.363,1.055
341,0.156,-0.379,1.082
342,0.000,-0.070,0.996
