Sample,X,Y,Z
0,0.039,-0.180,0.617
1,0.031,-0.004,0.918
2,0.180,-0.188,0.914
3,-0.016,-0.078,0.938
4,0.047,-0.207,1.047
5,0.070,-0.082,0.844
6,0.023,-0.168,0.836
7,-0.129,-0.062,0.957
8,0.020,-0.031,0.918
9,-0.012,-0.125,0.867
10,0.059,-0.109,0.906
11,0.113,-0.070,1.000
12,0.121,-0.109,0.973
13,0.133,-0.203,0.789
14,0.031,-0.164,0.988
15,0.043,0.051,1.004
16,0.020,-0.090,0.887
17,-0.066,-0.082,0.922
18,0.090,-0.039,1.035
19,0.047,0.031,0.996
20,0.090,-0.102,0.898
21,-0.031,-0.012,1.016
22,-0.086,-0.102,1.109
23,0.027,0.023,0.891
24,-0.020,0.078,0.977
25,0.047,-0.082,1.074
26,0.023,-0.109,1.020
27,0.176,0.012,0.957
28,-0.004,-0.082,0.992
29,0.184,0.090,1.051
30,-0.078,-0.051,0.855
31,0.070,0.082,1.090
32,0.004,-0.098,1.047
33,-0.125,0.109,0.941
34,0.176,-0.004,1.027
35,-0.207,0.055,1.043
36,0.137,-0.082,0.957
37,-0.035,-0.039,0.977
38,0.199,-0.023,1.055
39,0.008,-0.012,0.805
40,0.164,-0.008,1.004
41,-0.043,-0.219,0.914
42,0.055,0.156,0.961
43,0.148,-0.004,1.008
44,-0.250,-0.066,0.918
45,0.199,-0.254,0.953
46,-0.121,-0.023,1.043
47,0.113,0.078,0.938
48,-0.059,-0.211,0.910
49,-0.094,-0.027,0.977
50,0.176,-0.195,0.961
51,0.086,0.023,0.863
52,0.074,-0.250,0.988
53,-0.012,-0.168,0.891
54,0.203,-0.125,0.977
55,-0.066,-0.020,0.949
56,0.066,-0.055,0.906
57,-0.113,-0.199,0.891
58,0.094,-0.062,1.004
59,0.074,-0.172,0.992
60,0.051,-0.016,0.840
61,0.020,-0.086,0.953
62,0.035,-0.145,1.055
63,0.008,-0.176,0.777
64,0.023,0.047,0.961
65,0.117,-0.039,0.984
66,-0.062,-0.102,0.898
67,0.184,-0.125,1.012
68,-0.070,-0.059,0.887
69,0.016,0.078,1.000
70,0.035,-0.105,0.930
71,-0.039,0.090,1.027
72,-0.008,-0.152,0.969
73,0.078,0.016,1.020
74,0.035,-0.008,0.945
75,0.055,0.000,0.973
76,0.031,-0.152,1.148
77,-0.008,0.047,0.836
78,0.086,-0.020,1.059
79,0.020,-0.090,1.098
80,-0.016,0.047,0.863
81,0.035,-0.051,1.109
82,0.055,0.062,1.035
83,0.008,0.027,0.887
84,0.062,-0.094,1.023
85,0.016,0.012,1.023
86,-0.070,-0.066,0.941
87,0.125,-0.070,0.973
88,-0.031,0.184,0.973
89,0.031,-0.094,0.992
