Sample,X,Y,Z
0,0.062,-0.191,0.727
1,0.102,-0.035,1.008
2,0.133,0.156,0.992
3,0.008,0.043,1.121
4,-0.004,0.012,0.938
5,0.031,-0.012,0.867
6,-0.082,0.023,0.930
7,-0.051,-0.141,0.926
8,-0.016,-0.094,0.840
9,0.031,0.039,0.875
10,0.109,-0.180,0.941
11,0.059,-0.230,0.754
12,0.078,-0.266,0.820
13,0.074,-0.266,0.828
14,0.137,-0.027,0.719
15,0.059,-0.168,0.844
16,-0.094,-0.211,0.941
17,0.008,-0.137,0.875
18,0.074,0.012,0.832
19,-0.023,-0.227,0.934
20,0.016,-0.398,1.016
21,0.035,-0.172,0.922
22,0.094,-0.137,0.949
23,0.105,-0.207,1.012
24,0.043,-0.176,0.949
25,0.098,-0.277,0.941
26,0.062,-0.137,0.930
27,0.086,-0.113,1.070
28,0.035,0.008,1.027
29,-0.020,0.059,0.980
30,-0.008,-0.035,0.977
31,-0.059,0.016,0.980
32,-0.070,-0.121,0.992
33,-0.027,0.020,0.902
34,0.027,0.070,0.953
35,0.062,0.000,1.012
36,0.105,0.027,0.949
37,0.074,-0.117,0.938
38,0.062,-0.020,0.949
39,0.082,0.113,1.008
40,0.039,0.129,0.965
41,-0.070,0.047,0.914
42,-0.055,-0.004,1.094
43,-0.004,0.125,1.008
44,0.059,0.148,0.977
45,0.016,-0.012,1.039
46,0.004,-0.039,1.086
47,0.090,-0.043,1.027
48,0.098,0.102,1.004
49,0.027,-0.062,1.102
50,0.039,-0.082,1.035
51,0.094,-0.027,1.043
52,0.020,-0.043,1.070
53,0.043,-0.035,1.027
54,0.016,0.062,0.938
55,0.008,-0.090,1.031
56,-0.043,-0.152,1.004
57,-0.055,-0.016,0.949
58,0.039,0.047,0.934
59,0.031,-0.066,0.930
60,0.027,-0.301,0.977
61,0.043,-0.176,0.816
62,0.160,-0.078,0.859
63,0.145,-0.031,0.906
64,-0.004,-0.227,0.883
65,0.043,-0.223,0.785
66,0.035,0.043,0.855
67,-0.016,-0.152,1.004
68,-0.094,-0.211,0.824
69,-0.043,-0.098,0.902
70,0.070,-0.059,1.023
71,0.062,-0.094,0.871
72,0.109,-0.266,0.906
73,0.031,-0.180,0.938
74,0.129,-0.121,0.980
75,0.125,-0.066,0.898
76,-0.039,-0.039,0.930
77,0.055,-0.172,1.051
78,0.031,-0.109,0.938
79,0.047,-0.102,0.996
80,0.016,-0.004,1.031
81,-0.027,0.094,1.027
82,0.012,-0.129,0.984
83,-0.055,-0.133,0.973
84,0.027,-0.043,1.031
85,0.062,0.004,0.980
86,0.031,-0.066,0.926
87,0.086,-0.035,1.008
88,0.109,0.109,1.000
89,0.062,-0.039,0.930
90,0.039,-0.004,0.910
91,-0.023,0.035,1.082
92,-0.016,0.043,0.984
93,0.004,0.141,0.855
94,-0.031,0.090,1.102
95,-0.059,-0.062,1.082
96,0.016,-0.078,0.914
97,0.117,0.148,0.992
98,0.113,0.109,1.098
99,0.035,-0.172,0.973
100,0.074,-0.074,0.879
101,0.082,0.090,1.062
102,0.016,-0.023,1.027
103,0.004,0.008,0.941
104,-0.078,-0.020,1.047
105,0.020,-0.020,1.051
106,0.066,-0.125,1.000
107,-0.016,-0.082,0.957
108,0.043,-0.137,0.957
109,0.074,-0.086,0.941
110,0.016,-0.129,0.934
111,0.047,-0.109,0.945
112,0.074,-0.074,0.859
113,0.074,-0.141,0.922
114,0.039,-0.238,0.996
