Sample,Timestamp,Measured Motor Steps,Target Motor Steps
0,0.05,-3740.32,-3772.17
1,0.59,-3740.33,-3772.17
2,1.07,-3740.34,-3772.17
3,1.54,-3740.34,-3772.17
4,2.09,-3740.32,-3772.17
5,2.56,-3740.28,-3772.17
6,3.11,-3740.28,-3772.17
7,3.57,-3740.33,-3772.17
8,4.03,-3740.28,-3772.17
9,4.58,-3740.31,-3772.17
10,5.05,-3740.34,-3772.17
11,5.59,-3740.31,-3772.17
12,6.06,-3740.36,-3772.17
13,6.54,-3740.31,-3772.17
14,7.07,-3740.27,-3772.17
15,7.55,-3740.33,-3772.17
16,8.10,-3740.33,-3772.17
17,8.57,-3740.31,-3772.17
18,9.04,-3740.32,-3772.17
19,9.58,-3740.31,-3772.17
20,10.05,-3740.31,-3772.17
21,10.59,-3740.33,-3772.17
22,11.06,-3740.31,-3772.17
23,11.61,-3740.33,-3772.17
24,12.07,-3740.36,-3772.17
25,12.54,-3740.33,-3772.17
26,13.08,-3740.28,-3772.17
27,13.55,-3740.31,-3772.17
28,14.10,-3740.34,-3772.17
29,14.57,-3740.27,-3772.17
30,15.11,-3740.33,-3772.17
31,15.58,-3740.34,-3772.17
32,16.11,-3740.33,-3772.17
33,16.59,-3740.34,-3772.17
34,17.06,-3740.31,-3772.17
35,17.61,-3740.34,-3772.17
Data lost
