Sample,X,Y,Z
0,0.004,-0.078,0.980
1,0.043,-0.051,1.020
2,0.031,0.020,0.945
3,0.020,-0.043,0.996
4,-0.016,-0.094,0.938
5,-0.004,-0.012,0.973
6,0.066,-0.016,1.047
7,-0.016,-0.031,0.918
8,-0.008,-0.043,1.012
9,0.008,-0.020,0.949
10,-0.016,0.016,0.930
11,0.012,-0.105,1.012
12,-0.012,-0.027,0.957
13,0.062,0.000,1.027
14,0.000,-0.023,0.945
15,0.008,-0.102,0.977
16,-0.023,-0.020,0.957
17,-0.020,-0.012,0.965
18,0.016,-0.027,1.023
19,0.008,-0.035,0.953
20,0.008,0.012,0.984
21,0.008,-0.020,0.977
22,-0.008,-0.078,0.930
23,-0.012,-0.066,0.984
24,-0.004,0.035,0.988
25,0.020,-0.004,0.973
26,0.008,-0.020,0.969
27,0.020,-0.047,0.973
28,-0.016,0.020,0.969
29,-0.020,-0.043,0.988
30,0.043,-0.047,1.008
31,-0.004,0.004,0.941
32,0.016,-0.027,0.996
33,-0.027,-0.062,0.973
34,-0.004,-0.055,0.973
35,0.020,-0.062,0.988
36,0.035,-0.027,0.973
37,0.020,0.008,0.980
38,0.000,-0.043,0.988
39,-0.004,-0.020,0.977
40,-0.027,-0.078,1.000
41,-0.020,-0.016,0.977
42,0.020,0.043,0.984
43,0.039,-0.047,0.938
44,0.020,-0.055,0.945
45,0.039,-0.047,0.988
46,0.012,-0.004,0.961
47,0.000,-0.102,1.023
48,-0.031,-0.062,0.945
49,-0.059,0.012,0.977
50,-0.031,-0.035,0.984
51,0.020,0.016,0.957
52,0.070,-0.031,0.996
53,0.008,0.047,0.973
54,0.043,-0.016,0.984
55,-0.012,-0.109,0.938
56,0.020,-0.137,0.988
57,0.027,-0.020,0.965
58,0.008,-0.004,0.980
59,0.043,-0.020,1.008
60,-0.020,0.000,0.934
61,-0.020,-0.035,1.012
62,-0.078,-0.008,0.988
63,-0.059,-0.102,0.977
64,0.023,-0.008,1.000
65,0.074,0.016,0.953
66,0.059,-0.031,0.969
67,0.016,-0.082,0.941
68,-0.023,-0.062,0.957
69,0.004,-0.051,1.012
70,-0.012,-0.016,0.973
71,0.012,-0.035,1.000
72,0.004,0.016,0.984
73,0.016,-0.035,0.961
74,-0.012,-0.059,0.996
75,0.020,0.016,0.977
76,-0.004,-0.055,0.969
77,-0.023,-0.035,0.984
78,0.020,-0.078,0.973
79,0.016,-0.020,0.941
80,0.031,-0.035,1.000
81,0.020,-0.066,0.992
82,-0.004,0.004,0.961
83,0.004,-0.020,1.020
84,0.027,-0.043,0.953
85,-0.027,0.000,0.965
86,-0.023,-0.074,1.004
87,-0.027,-0.012,0.945
88,-0.008,-0.039,0.988
89,0.055,-0.027,0.984
90,0.086,-0.051,0.961
91,0.016,-0.051,0.996
92,0.086,-0.008,1.031
93,0.082,-0.020,0.984
94,0.090,-0.062,0.984
95,0.133,-0.070,0.965
96,0.117,0.016,0.957
97,0.223,-0.020,1.004
98,0.219,-0.121,0.934
99,0.227,-0.031,0.996
100,0.172,-0.062,0.984
101,0.207,-0.027,0.957
102,0.195,-0.035,0.961
103,0.199,-0.086,1.008
104,0.129,-0.008,0.945
105,0.023,-0.035,0.992
106,0.082,-0.098,1.031
107,-0.016,-0.008,0.906
108,0.027,-0.105,1.035
109,0.027,0.027,0.918
110,0.090,0.055,0.965
111,0.176,0.000,1.004
112,0.125,-0.086,0.910
113,0.168,-0.074,1.012
114,0.301,-0.027,0.965
115,0.309,-0.008,0.918
116,0.371,-0.102,0.969
117,0.211,-0.066,0.902
118,0.129,-0.062,1.027
119,0.055,-0.066,0.996
120,0.008,-0.066,0.977
121,0.031,0.035,1.047
122,0.020,0.027,0.918
123,-0.012,0.129,0.945
124,0.051,-0.047,1.020
125,0.004,-0.094,0.961
126,-0.117,-0.160,1.004
127,-0.078,-0.121,1.078
128,0.039,0.035,0.945
129,0.133,0.051,0.949
130,0.219,-0.047,0.973
131,0.180,0.004,0.934
132,0.160,-0.004,1.020
133,0.180,-0.137,1.027
134,0.141,-0.094,0.949
135,0.094,-0.094,1.000
136,0.066,0.020,0.941
137,0.168,0.000,0.945
138,0.172,-0.027,0.949
139,0.090,-0.055,1.000
140,0.047,-0.031,1.047
141,0.031,-0.051,0.988
142,0.113,-0.023,1.020
143,0.105,-0.094,0.949
144,0.141,0.000,0.941
145,0.297,0.027,1.012
146,0.320,-0.082,0.961
147,0.266,-0.129,0.949
148,0.137,-0.145,0.973
149,0.023,-0.004,0.996
150,0.008,-0.062,0.984
151,0.094,-0.105,0.969
152,0.066,0.070,0.938
153,-0.020,0.102,1.000
154,0.062,0.004,0.949
155,0.117,0.035,0.906
156,0.020,-0.172,0.965
157,-0.148,-0.121,0.977
158,-0.188,-0.023,0.957
159,-0.027,-0.008,0.996
160,0.207,0.020,0.934
161,0.121,0.012,0.902
162,0.117,0.043,1.066
163,0.223,0.023,0.984
164,0.289,-0.094,0.918
165,0.320,-0.156,1.004
166,0.184,-0.066,1.000
167,0.199,-0.098,1.051
168,0.238,-0.062,0.969
169,0.285,-0.062,1.020
170,0.254,0.023,1.039
171,0.145,0.055,0.930
172,-0.016,-0.113,1.059
173,-0.078,-0.141,1.055
174,-0.098,-0.062,1.012
175,-0.047,0.012,1.039
176,0.020,-0.047,0.973
177,0.164,0.004,0.855
178,0.133,0.109,0.902
179,0.082,-0.168,1.000
180,0.102,-0.117,0.918
181,0.062,-0.078,0.957
182,0.133,-0.074,1.113
183,0.168,-0.035,0.867
184,-0.023,0.027,0.844
185,0.000,-0.008,1.098
186,-0.047,-0.051,0.875
187,-0.020,0.023,0.930
188,0.133,0.098,1.109
189,0.227,-0.078,0.855
190,0.246,0.039,0.867
191,0.426,-0.172,1.066
192,0.305,-0.109,0.938
193,0.180,-0.051,1.020
