Sample,X,Y,Z
0,0.035,-0.059,0.668
1,0.020,0.004,0.949
2,0.055,-0.062,1.035
3,-0.004,-0.059,0.926
4,-0.043,-0.004,0.969
5,0.000,-0.023,1.020
6,0.004,-0.035,0.949
7,-0.020,-0.020,0.988
8,0.016,-0.051,1.000
9,0.008,-0.027,0.965
10,0.027,-0.047,0.969
11,0.039,-0.055,0.969
12,-0.012,0.027,0.969
13,0.008,-0.082,0.992
14,-0.027,-0.059,0.949
15,-0.012,-0.043,1.012
16,0.020,-0.035,0.988
17,0.008,0.023,0.938
18,0.055,-0.039,1.004
19,0.031,-0.062,0.926
20,-0.020,0.012,0.973
21,0.023,-0.098,1.023
22,-0.062,-0.039,0.941
23,0.000,-0.047,1.012
24,0.023,-0.051,0.941
25,-0.020,0.012,0.949
26,0.062,-0.043,1.020
27,0.008,-0.039,0.938
28,0.020,-0.023,1.043
29,-0.039,-0.086,0.934
30,-0.031,-0.016,0.965
31,0.051,-0.023,0.988
32,0.004,-0.016,0.906
33,0.016,-0.074,1.023
34,-0.035,-0.016,0.965
35,0.016,-0.008,1.004
36,0.016,-0.047,0.980
37,0.055,-0.039,0.957
38,-0.016,-0.004,0.977
39,-0.012,-0.074,1.004
40,-0.012,-0.031,0.949
41,0.004,-0.035,1.000
42,0.031,-0.051,0.977
43,-0.062,0.004,0.922
44,0.020,-0.062,1.004
45,0.031,0.023,0.957
46,0.023,-0.062,1.000
47,-0.012,-0.082,0.977
48,-0.020,-0.027,1.004
49,0.078,-0.012,0.984
50,0.027,-0.008,0.914
51,0.012,-0.082,0.996
52,-0.055,0.004,0.961
53,-0.012,-0.031,0.996
54,0.000,-0.020,0.969
55,0.031,-0.086,0.973
56,-0.004,0.059,0.977
57,0.012,-0.031,0.969
58,0.016,-0.078,0.969
59,0.027,-0.012,0.980
60,0.008,-0.039,1.000
61,0.023,-0.039,0.949
62,0.008,-0.070,0.977
63,0.039,-0.055,0.988
64,-0.023,-0.012,0.949
65,-0.047,-0.039,1.000
66,-0.012,0.000,0.980
67,0.016,-0.004,0.941
68,0.012,-0.035,0.988
69,0.031,-0.066,0.984
70,0.008,-0.020,0.961
71,-0.008,-0.098,1.000
72,-0.012,-0.090,0.988
73,-0.027,-0.020,0.957
74,0.020,-0.008,0.996
75,0.070,0.035,0.945
76,0.027,-0.023,0.977
77,0.035,-0.027,0.992
78,-0.043,-0.016,0.965
79,-0.035,-0.102,1.035
80,-0.016,-0.043,0.953
81,-0.008,0.004,0.945
82,0.023,-0.027,1.023
83,0.004,-0.031,0.938
84,0.020,-0.062,0.988
85,0.039,-0.047,0.996
86,0.039,0.004,0.969
87,-0.004,-0.016,1.004
88,-0.004,-0.129,1.000
89,-0.039,-0.008,0.941
90,-0.012,-0.039,1.031
91,0.004,-0.023,0.961
92,-0.051,0.035,0.957
93,0.035,-0.133,1.035
94,-0.008,-0.023,0.938
95,0.031,-0.160,1.086
96,0.055,-0.195,1.023
97,0.012,-0.043,0.992
98,0.016,-0.109,1.051
99,-0.027,-0.086,0.934
100,-0.043,-0.215,0.992
101,-0.035,-0.254,1.012
102,0.023,-0.148,1.000
103,0.047,-0.188,1.027
104,0.039,-0.312,0.941
105,0.000,-0.273,0.902
106,-0.004,-0.293,0.941
107,-0.039,-0.230,0.941
108,-0.008,-0.230,0.961
109,-0.016,-0.250,0.949
110,-0.008,-0.227,0.965
111,0.004,-0.195,0.945
112,0.027,-0.203,0.922
113,0.047,-0.160,0.941
114,0.043,-0.227,0.895
115,-0.008,-0.168,0.914
116,0.008,-0.262,0.945
117,-0.023,-0.285,0.891
118,-0.004,-0.262,0.922
119,-0.008,-0.168,0.922
120,-0.012,-0.180,0.949
121,-0.004,-0.242,0.957
122,0.008,-0.293,0.980
123,-0.004,-0.215,1.102
124,0.047,-0.293,1.066
125,0.008,-0.184,0.957
126,0.055,-0.227,0.984
127,0.031,-0.117,0.891
128,-0.020,-0.051,0.914
129,-0.016,-0.160,1.020
130,-0.035,-0.105,0.988
131,-0.059,-0.051,1.094
132,-0.074,0.012,1.062
133,-0.074,0.008,0.961
134,-0.043,0.055,0.984
135,0.004,0.094,0.969
136,0.035,0.020,0.984
137,0.133,-0.098,0.984
138,0.176,-0.152,0.902
139,0.125,-0.035,0.883
140,0.070,0.000,0.891
141,0.016,-0.020,0.883
142,-0.094,-0.047,0.965
143,-0.105,-0.047,1.066
144,-0.117,0.070,1.047
145,-0.043,0.062,1.141
146,0.047,-0.066,1.043
147,0.043,-0.184,1.020
148,0.109,-0.242,1.090
149,0.059,-0.156,1.027
150,0.105,-0.129,1.082
151,0.047,-0.109,1.020
152,-0.074,-0.117,1.023
153,-0.102,-0.098,1.109
154,-0.152,-0.090,1.066
155,-0.102,-0.070,1.070
156,-0.008,-0.047,0.949
157,0.070,-0.059,0.840
158,0.117,-0.219,0.789
159,0.074,-0.391,0.754
160,0.043,-0.359,0.824
161,0.055,-0.223,0.871
162,0.027,-0.223,0.906
163,-0.031,-0.270,0.871
164,-0.105,-0.133,0.855
165,-0.039,-0.020,0.961
166,-0.074,-0.039,0.930
167,-0.016,-0.359,1.043
168,0.000,-0.445,1.020
169,0.043,-0.348,1.047
170,0.090,-0.340,1.051
171,0.094,-0.320,0.910
172,0.074,-0.188,0.910
173,-0.016,-0.062,0.949
174,-0.129,-0.086,0.988
175,-0.137,-0.172,1.066
176,-0.074,-0.301,1.148
177,0.043,-0.215,1.062
178,0.102,0.000,0.957
179,0.113,-0.023,0.867
180,0.035,-0.184,0.785
181,-0.082,-0.359,0.824
182,-0.094,-0.305,1.023
183,0.062,-0.199,1.148
184,0.145,-0.039,1.062
185,0.137,0.059,1.023
186,0.012,0.055,0.957
187,-0.160,-0.113,0.844
188,-0.176,-0.129,0.867
189,0.031,-0.016,0.969
190,0.121,0.090,0.945
191,0.059,0.070,0.965
192,-0.023,-0.141,0.980
193,-0.117,-0.188,0.973
194,-0.070,-0.023,1.023
195,0.055,0.184,1.027
196,0.137,0.164,1.074
197,0.035,0.035,1.020
198,-0.047,-0.293,1.066
199,-0.055,-0.363,1.047
200,0.082,-0.184,1.051
