Sample,Timestamp,Measured Motor Steps,Target Motor Steps
0,0.05,-3740.33,-3852.17
1,4.04,-3740.37,-3852.17
2,8.06,-3740.32,-3852.17
3,12.07,-3740.34,-3852.17
4,16.08,-3740.36,-3852.17
5,20.09,-3740.33,-3852.17
6,24.10,-3740.32,-3852.17
7,28.11,-3740.37,-3852.17
8,32.04,-3740.33,-3852.17
9,36.07,-3740.28,-3852.17
10,40.09,-3740.32,-3852.17
11,44.10,-3740.34,-3852.17
12,48.10,-3740.36,-3852.17
13,52.10,-3740.36,-3852.17
14,56.11,-3740.36,-3852.17
15,60.11,-3740.33,-3852.17
16,64.11,-3740.34,-3852.17
17,68.06,-3740.37,-3852.17
18,72.09,-3740.33,-3852.17
19,76.09,-3740.32,-3852.17
20,80.05,-3740.32,-3852.17
21,84.06,-3740.31,-3852.17
22,88.07,-3740.32,-3852.17
23,92.08,-3740.32,-3852.17
24,96.09,-3740.37,-3852.17
25,100.09,-3740.31,-3852.17
26,104.04,-3740.37,-3852.17
27,108.06,-3740.38,-3852.17
28,112.08,-3740.33,-3852.17
29,116.11,-3740.36,-3852.17
30,120.11,-3740.37,-3852.17
31,124.11,-3740.32,-3852.17
32,128.05,-3740.28,-3852.17
33,132.05,-3740.31,-3852.17
34,136.06,-3740.34,-3852.17
35,140.08,-3740.34,-3852.17
36,144.09,-3740.34,-3852.17
37,148.04,-3740.34,-3852.17
38,152.05,-3740.33,-3852.17
39,156.08,-3740.28,-3852.17
40,160.06,-3740.34,-3852.17
41,164.04,-3740.32,-3852.17
42,168.09,-3740.28,-3852.17
43,172.06,-3740.31,-3852.17
44,176.08,-3740.36,-3852.17
45,180.06,-3740.34,-3852.17
46,184.09,-3740.32,-3852.17
47,188.06,-3740.28,-3852.17
48,192.11,-3740.33,-3852.17
49,196.07,-3740.33,-3852.17
50,200.07,-3740.33,-3852.18
51,204.08,-3740.34,-3852.22
52,208.07,-3740.27,-3852.31
53,212.11,-3740.33,-3852.45
54,216.11,-3740.34,-3852.64
55,220.12,-3740.34,-3852.89
56,224.05,-3740.31,-3853.17
57,228.07,-3740.32,-3853.52
58,232.08,-3740.28,-3853.91
59,236.04,-3740.33,-3854.34
60,240.04,-3740.32,-3854.84
61,244.05,-3740.31,-3855.38
62,248.05,-3740.33,-3855.97
63,252.06,-3740.31,-3856.61
64,256.04,-3740.31,-3857.30
65,260.05,-3740.34,-3858.04
66,264.09,-3740.33,-3858.84
67,268.11,-3740.28,-3859.69
68,272.04,-3740.36,-3860.55
69,276.07,-3740.36,-3861.41
70,280.05,-3740.33,-3862.20
71,284.04,-3740.33,-3862.95
72,288.05,-3740.32,-3863.65
73,292.12,-3740.32,-3864.31
74,296.04,-3740.31,-3864.89
75,300.05,-3740.31,-3865.44
76,304.11,-3740.32,-3865.95
77,308.04,-3740.33,-3866.39
78,312.09,-3740.31,-3866.79
79,316.10,-3740.36,-3867.14
80,320.07,-3740.36,-3867.43
81,324.08,-3740.32,-3867.68
82,328.06,-3740.33,-3867.88
83,332.07,-3740.32,-3868.02
84,336.08,-3740.27,-3868.12
85,340.09,-3740.37,-3868.17
86,344.08,-3740.31,-3868.17
87,348.08,-3740.32,-3868.17
88,352.11,-3740.33,-3868.17
89,356.05,-3740.32,-3868.17
90,360.09,-3740.33,-3868.17
91,364.09,-3740.33,-3868.17
92,368.10,-3740.33,-3868.17
93,372.05,-3740.32,-3868.17
94,376.09,-3740.34,-3868.17
95,380.04,-3740.37,-3868.17
96,384.04,-3740.32,-3868.17
97,388.06,-3740.33,-3868.17
98,392.08,-3740.37,-3868.17
99,396.09,-3740.34,-3868.17
100,400.09,-3740.37,-3868.17
101,404.10,-3740.33,-3868.17
102,408.03,-3740.32,-3868.17
103,412.09,-3740.32,-3868.17
104,416.05,-3740.33,-3868.17
105,420.07,-3740.31,-3868.17
106,424.08,-3740.32,-3868.17
107,428.09,-3740.32,-3868.17
108,432.10,-3740.33,-3868.17
109,436.04,-3740.27,-3868.17
110,440.06,-3740.33,-3868.17
111,444.09,-3740.36,-3868.17
112,448.10,-3740.32,-3868.17
113,452.04,-3740.31,-3868.17
114,456.04,-3740.33,-3868.17
115,460.05,-3740.33,-3868.17
116,464.07,-3740.36,-3868.17
117,468.07,-3740.36,-3868.17
118,472.07,-3740.33,-3868.17
119,476.08,-3740.34,-3868.17
120,480.10,-3740.34,-3868.17
121,484.04,-3740.32,-3868.17
122,488.04,-3740.34,-3868.17
123,492.04,-3740.31,-3868.17
124,496.05,-3740.34,-3868.17
125,500.08,-3740.32,-3868.17
126,504.04,-3740.32,-3868.17
127,508.03,-3740.33,-3868.17
128,512.04,-3740.33,-3868.17
129,516.05,-3740.28,-3868.17
130,520.07,-3740.32,-3868.17
131,524.09,-3740.38,-3868.17
132,528.08,-3740.34,-3868.17
133,532.10,-3740.31,-3868.17
134,536.04,-3740.33,-3868.17
135,540.05,-3740.33,-3868.17
136,544.07,-3740.28,-3868.17
137,548.09,-3740.32,-3868.17
138,552.10,-3740.31,-3868.17
139,556.04,-3740.34,-3868.17
140,560.05,-3740.33,-3868.17
141,564.06,-3740.33,-3868.17
142,568.11,-3740.33,-3868.17
143,572.05,-3740.31,-3868.17
144,576.07,-3740.38,-3868.17
145,580.09,-3740.33,-3868.17
146,584.11,-3740.33,-3868.17
147,588.05,-3740.33,-3868.17
148,592.05,-3740.34,-3868.17
149,596.06,-3740.27,-3868.17
150,600.06,-3740.38,-3868.17
151,604.08,-3740.33,-3868.17
152,608.04,-3740.34,-3868.17
153,612.08,-3740.32,-3868.17
154,616.11,-3740.28,-3868.17
155,620.06,-3740.34,-3868.17
156,624.08,-3740.33,-3868.17
157,628.10,-3740.32,-3868.17
158,632.04,-3740.33,-3868.17
159,636.04,-3740.32,-3868.17
160,640.06,-3740.34,-3868.17
161,644.07,-3740.33,-3868.17
162,648.08,-3740.36,-3868.17
163,652.09,-3740.34,-3868.17
164,656.10,-3740.36,-3868.17
165,660.04,-3740.31,-3868.17
166,664.06,-3740.34,-3868.17
167,668.07,-3740.32,-3868.17
168,672.08,-3740.27,-3868.17
169,676.10,-3740.32,-3868.17
170,680.05,-3740.34,-3868.17
171,684.06,-3740.32,-3868.17
172,688.05,-3740.34,-3868.17
173,692.04,-3740.31,-3868.17
174,696.06,-3740.34,-3868.17
175,700.07,-3740.32,-3868.17
176,704.09,-3740.33,-3868.17
177,708.10,-3740.32,-3868.17
178,712.10,-3740.33,-3868.17
179,716.04,-3740.36,-3868.17
180,720.04,-3740.31,-3868.17
181,724.04,-3740.33,-3868.17
182,728.06,-3740.32,-3868.17
183,732.07,-3740.31,-3868.17
184,736.08,-3740.33,-3868.17
185,740.09,-3740.34,-3868.17
186,744.09,-3740.31,-3868.17
187,748.10,-3740.34,-3868.17
188,752.04,-3740.27,-3868.17
189,756.05,-3740.33,-3868.17
190,760.06,-3740.33,-3868.17
191,764.07,-3740.39,-3868.17
192,768.09,-3740.36,-3868.17
193,772.10,-3740.31,-3868.17
194,776.05,-3740.33,-3868.17
195,780.05,-3740.28,-3868.17
196,784.07,-3740.33,-3868.17
197,788.09,-3740.33,-3868.17
198,792.10,-3740.32,-3868.17
199,796.05,-3740.33,-3868.17
200,800.05,-3740.34,-3868.17
201,804.05,-3740.33,-3868.17
202,808.06,-3740.36,-3868.17
203,812.08,-3740.33,-3868.17
204,816.11,-3740.32,-3868.17
205,820.06,-3740.33,-3868.17
206,824.05,-3740.34,-3868.17
207,828.07,-3740.36,-3868.17
208,832.09,-3740.34,-3868.17
209,836.11,-3740.33,-3868.17
210,840.06,-3740.32,-3868.17
211,844.05,-3740.34,-3868.17
212,848.04,-3740.33,-3868.17
213,852.07,-3740.31,-3868.17
214,856.08,-3740.32,-3868.17
215,860.11,-3740.32,-3868.17
216,864.05,-3740.28,-3868.17
217,868.06,-3740.33,-3868.17
218,872.07,-3740.34,-3868.17
219,876.09,-3740.32,-3868.17
220,880.11,-3740.31,-3868.17
221,884.05,-3740.33,-3868.17
222,888.07,-3740.32,-3868.17
223,892.09,-3740.32,-3868.17
224,896.04,-3740.33,-3868.17
225,900.04,-3740.31,-3868.17
226,904.05,-3740.34,-3868.17
227,908.06,-3740.36,-3868.17
228,912.05,-3740.28,-3868.17
229,916.06,-3740.37,-3868.17
230,920.07,-3740.31,-3868.17
231,924.09,-3740.36,-3868.17
232,928.09,-3740.32,-3868.17
233,932.11,-3740.32,-3868.17
234,936.04,-3740.33,-3868.17
235,940.05,-3740.36,-3868.17
236,944.07,-3740.34,-3868.17
237,948.08,-3740.32,-3868.17
238,952.11,-3740.36,-3868.17
239,956.05,-3740.31,-3868.17
240,960.06,-3740.33,-3868.17
241,964.07,-3740.33,-3868.17
242,968.08,-3740.28,-3868.17
243,972.09,-3740.31,-3868.17
244,976.09,-3740.33,-3868.17
245,980.11,-3740.34,-3868.17
246,984.04,-3740.34,-3868.17
247,988.05,-3740.33,-3868.17
248,992.06,-3740.34,-3868.17
249,996.09,-3740.32,-3868.17
250,1000.10,-3740.34,-3868.17
251,1004.04,-3740.31,-3868.17
252,1008.05,-3740.33,-3868.17
253,1012.07,-3740.34,-3868.17
254,1016.10,-3740.36,-3868.17
255,1020.04,-3740.33,-3868.17
256,1024.06,-3740.27,-3868.17
257,1028.07,-3740.32,-3868.17
258,1032.04,-3740.37,-3868.17
259,1036.05,-3740.33,-3868.17
260,1040.06,-3740.32,-3868.17
261,1044.07,-3740.33,-3868.17
262,1048.11,-3740.31,-3868.17
263,1052.05,-3740.32,-3868.17
264,1056.05,-3740.34,-3868.17
265,1060.07,-3740.32,-3868.17
266,1064.08,-3740.33,-3868.17
267,1068.10,-3740.33,-3868.17
268,1072.11,-3740.33,-3868.17
269,1076.10,-3740.32,-3868.17
270,1080.05,-3740.37,-3868.17
271,1084.07,-3740.33,-3868.17
272,1088.08,-3740.32,-3868.17
273,1092.09,-3740.34,-3868.17
274,1096.10,-3740.36,-3868.17
275,1100.04,-3740.33,-3868.17
276,1104.06,-3740.34,-3868.17
277,1108.08,-3740.36,-3868.17
278,1112.10,-3740.27,-3868.17
279,1116.05,-3740.34,-3868.17
280,1120.08,-3740.32,-3868.17
281,1124.10,-3740.32,-3868.17
282,1128.11,-3740.32,-3868.17
283,1132.05,-3740.28,-3868.17
284,1136.05,-3740.32,-3868.17
285,1140.06,-3740.33,-3868.17
286,1144.08,-3740.32,-3868.17
287,1148.09,-3740.28,-3868.17
288,1152.10,-3740.34,-3868.17
289,1156.11,-3740.31,-3868.17
290,1160.05,-3740.33,-3868.17
291,1164.07,-3740.36,-3868.17
292,1168.09,-3740.37,-3868.17
293,1172.04,-3740.34,-3868.17
294,1176.07,-3740.32,-3868.17
295,1180.08,-3740.32,-3868.17
296,1184.07,-3740.32,-3868.17
297,1188.07,-3740.37,-3868.17
298,1192.08,-3740.33,-3868.17
299,1196.10,-3740.34,-3868.17
300,1200.04,-3740.34,-3868.17
301,1204.06,-3740.31,-3868.17
302,1208.06,-3740.31,-3868.17
303,1212.10,-3740.36,-3868.17
304,1216.09,-3740.36,-3868.17
305,1220.04,-3740.32,-3868.17
306,1224.05,-3740.31,-3868.17
307,1228.05,-3740.34,-3868.17
308,1232.05,-3740.31,-3868.17
309,1236.08,-3740.39,-3868.17
310,1240.10,-3740.37,-3868.17
311,1244.11,-3740.32,-3868.17
312,1248.11,-3740.32,-3868.17
313,1252.05,-3740.36,-3868.17
314,1256.06,-3740.34,-3868.17
315,1260.07,-3740.32,-3868.17
316,1264.09,-3740.32,-3868.17
317,1268.11,-3740.32,-3868.17
318,1272.11,-3740.33,-3868.17
319,1276.06,-3740.32,-3868.17
320,1280.07,-3740.32,-3868.17
321,1284.09,-3740.32,-3868.17
322,1288.04,-3740.36,-3868.17
323,1292.05,-3740.31,-3868.17
324,1296.07,-3740.27,-3868.17
325,1300.09,-3740.28,-3868.17
326,1304.10,-3740.32,-3868.17
327,1308.05,-3740.31,-3868.17
328,1312.06,-3740.33,-3868.17
329,1316.07,-3740.36,-3868.17
330,1320.08,-3740.33,-3868.17
331,1324.08,-3740.34,-3868.17
332,1328.10,-3740.37,-3868.17
333,1332.08,-3740.34,-3868.17
334,1336.11,-3740.34,-3868.17
335,1340.05,-3740.32,-3868.17
